Protein	Pannzer
WP_003517153.1	Shikimate dehydrogenase (NADP(+))(0.594327369183)
WP_003516143.1	Isopropylmalate/homocitrate/citramalate synthase(0.5046245366)
WP_003519369.1	Hydro-lyase, Fe-S type, tartrate/fumarate subfamily(0.633217776123)
WP_003511600.1	SfII prophage-derived bactoprenol glucosyl transferase(0.372712099371)
WP_003516493.1	Sulfur carrier protein ThiS(0.397213356455)
WP_003517950.1	Flagellar motor switch protein FliG(0.578415117283)
WP_003518704.1	Regulatory protein MerR(0.406042950151)
WP_003518248.1	Alpha/beta fold hydrolase(0.359829303478)
WP_003511680.1	Cobalamin biosynthesis protein CobD(0.447983181852)
WP_003513473.1	Response regulator receiver(0.269093100539)
WP_003513195.1	GNAT family N-acetyltransferase(0.439782230095)
WP_003513173.1	Alpha-ribazole phosphatase(0.423424375169)
WP_003520853.1	Endopeptidase La(0.625035769545)
WP_003518718.1	Stage 0 sporulation two-component response regulator(0.784222031619)
WP_003520682.1	Predicted glycosyl hydrolase(0.490996728063)
WP_003514614.1	Anti-sigma regulatory factor(0.347851010299)
WP_003515593.1	Extracellular solute-binding protein family 1(0.319056006283)
WP_003513175.1	Cellooligosaccharide ABC transporter membrane protein(0.484390435992)
WP_003519002.1	Predicted ATP-dependent endonuclease of the OLD family, contains P-loop ATPase and TOPRIM domains(0.596759009463)
WP_003516120.1	MacB-like periplasmic core domain containing protein(0.374035643742)
WP_003513930.1	Putative RNA-binding enzyme component(0.814779704836)
WP_003511674.1	Flavodoxin domain-containing protein(0.788557353539)
WP_003518639.1	Aspartate carbamoyltransferase(0.539474490233)
WP_003512850.1	2-octaprenylphenol hydroxylase [Ruminiclostridium thermocellum](0.733624122339)
WP_003516452.1	Pyruvate ferredoxin oxidoreductase alpha subunit(0.618976265452)
WP_003512937.1	Sporulation transcriptional regulator SpoIIID(0.790655456899)
WP_003512155.1	Beta-ketoacyl-acyl-carrier-protein synthase I(0.366624677268)
WP_003516150.1	Probable multidrug resistance ABC transporter ATP-binding/permease protein YheH(0.444340505744)
WP_003515837.1	Glycosyl hydrolase(0.452065017919)
ADU75656.1	Transposase(0.399812975605)
WP_003516694.1	Cellulosome enzyme, dockerin type I(0.786782232138)
WP_003511705.1	Putative response regulatory protein(0.387730389426)
WP_003520845.1	TROVE domain(0.790687511445)
WP_003512157.1	AMP-dependent synthetase and ligase(0.284883032445)
WP_003513132.1	Acetolactate synthase(0.524650752281)
WP_003519439.1	Carotenoid oxygenase(0.319258474028)
WP_003514660.1	50S ribosomal protein L15(0.532453730818)
WP_003520530.1	O-antigen polymerase(0.717783938382)
WP_003518383.1	Cellulosomal protein(0.518916734166)
WP_003515286.1	Carbohydrate-binding protein CenC(0.75939195083)
WP_003511616.1	uracil-DNA glycosylase [Ruminiclostridium thermocellum](0.435862763867)
WP_003513944.1	Membrane trafficking protein(0.82665992974)
WP_003517362.1	Nitrogenase molybdenum-iron protein beta subunit NifK(0.662171107073)
WP_003513487.1	Protein-glutamate methylesterase/protein-glutamine glutaminase(0.656039679837)
WP_003511686.1	Methyl-accepting chemotaxis sensory transducer(0.31576033928)
WP_003517873.1	Ggdef/hd domain protein(0.404266381378)
WP_003518225.1	Response regulators consisting of a CheY-like receiver domain and an HD-GYP domain(0.679737584844)
WP_003514625.1	50S ribosomal protein L23 [Ruminiclostridium thermocellum](0.570922719566)
WP_003512143.1	Stage V sporulation protein AEB(0.545839080855)
WP_003513992.1	tetratricopeptide repeat protein [Ruminiclostridium thermocellum](0.47115610442)
WP_003519429.1	Transglutaminase-like enzymes(0.542524923304)
ADU74510.1	RNA-binding protein Hfq(0.682464459789)
WP_003511713.1	Diacylglycerol kinase catalytic region(0.318154283175)
WP_003515727.1	Stage V sporulation protein SpoVS(0.784303897757)
WP_003514639.1	Ribosomal protein L29(0.505148430907)
WP_003515833.1	Energy-coupling factor transporter transmembrane protein CbiQ(0.578747800894)
WP_003514621.1	50S ribosomal protein L3(0.52565855324)
WP_003512848.1	Zn-finger containing protein(0.799103624404)
WP_003513837.1	Metallophos domain-containing protein(0.385094383767)
WP_003514395.1	Polynucleotide kinase-phosphatase(0.789707419432)
ADU75265.1	ECF RNA polymerase sigma-E factor(0.281440605052)
WP_003519435.1	ABC-type multidrug transport system(0.406301729818)
WP_003511717.1	Putative ABC transporter ATP-binding protein MJ1508(0.473678008928)
WP_003519036.1	Spore dipicolinate synthase subunit B(0.786417762644)
WP_003518180.1	Voltage-dependent potassium channel beta subunit(0.530151766896)
WP_003512584.1	Periplasmic Fe-hydrogenase large subunit(0.405370314487)
ADU73598.1	Oligopeptide transport system permease protein OppC(0.341340576307)
WP_003515729.1	Metallophosphoesterase(0.478040189094)
WP_003518390.1	copper amine oxidase [Ruminiclostridium thermocellum](0.597240202575)
WP_003513786.1	Heavy metal translocating P-type ATPase(0.533545612603)
WP_003514580.1	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase(0.594516451693)
WP_003515733.1	AAA ATPase domain-containing protein(0.67672190607)
WP_003517073.1	Aspartyl-tRNA amidotransferase subunit B(0.495414548334)
WP_003518392.1	Putative glycosyl hydrolase domain DUF4015(0.475246176355)
WP_003514582.1	Histidine biosynthesis bifunctional protein HisIE(0.632395776724)
WP_003520209.1	Spore germination protein GerKC(0.372769140631)
WP_003516457.1	Predicted gamma-D-glutamyl-L-diamino acid endopeptidase(0.785189193244)
WP_003511872.1	ankyrin repeat domain-containing protein [Ruminiclostridium thermocellum](0.593898114966)
WP_003514637.1	50S ribosomal protein L16(0.529134542069)
WP_003514383.1	And cellulose-binding endoglucanase family 9 CelL ortholog dockerin domain(0.463135535906)
WP_003520287.1	Putative Rieske 2Fe-2S iron-sulfur protein YhfW(0.42133231478)
WP_003519427.1	Arogenate dehydrogenase(0.372288421379)
WP_003518481.1	V-type sodium ATP synthase subunit I(0.619703829408)
WP_003514906.1	Low-affinity inorganic phosphate transportert Pit(0.500856682846)
WP_003520207.1	DUF324 domain-containing protein(0.520562514043)
WP_003513200.1	Shikimate kinase i(0.518732602911)
WP_003517285.1	Glutamine--tRNA ligase(0.710783666144)
WP_003516850.1	Chloride channel protein EriC(0.524867100986)
WP_003516020.1	Phage terminase-like protein, large subunit, contains N-terminal HTH domain(0.427448979741)
WP_003513592.1	Pseudaminic acid biosynthesis-associated methyltransferase(0.547740649851)
WP_080514925.1	Putative two-component response-regulatory protein YehT(0.508808042309)
WP_003513782.1	Sensor kinase CusS(0.32008529411)
WP_003518521.1	Energy-coupling factor transporter ATP-binding protein EcfA(0.626745868341)
WP_003518906.1	Cell division ATP-binding protein FtsE(0.562921258872)
WP_003512586.1	NADP-dependent malic enzyme(0.498255178596)
WP_003513590.1	Neub family protein with antifreeze-like domains(0.37395157752)
WP_003511731.1	Monogalactosyldiacylglycerol synthase(0.689407889792)
WP_003513780.1	Homoserine O-succinyltransferase(0.652063682503)
WP_003513891.1	CTP synthase(0.54646136806)
WP_003515288.1	Anaerobic carbon-monoxide dehydrogenase catalytic subunit(0.812330957656)
WP_003516822.1	Integral membrane sensor signal transduction histidine kinase(0.327806199957)
WP_003512828.1	Zincin peptidase(0.808484807686)
WP_003518637.1	Dihydroorotase(0.564671780268)
WP_003511688.1	Homoaconitase large subunit(0.52426216725)
WP_003518914.1	Transcriptional regulator of cysteine biosynthesis(0.389032300962)
WP_011837932.1	Transcription factor controlling fatty acid and phospholipid metabolism(0.758672731247)
WP_003516870.1	spore coat protein CotH [Ruminiclostridium thermocellum](0.396435121534)
WP_003516824.1	Putative bacteriocin export ABC transporter lactococcin 972 group(0.392441738491)
WP_003517076.1	Putative colanic biosynthesis UDP-glucose lipid carrier transferase(0.479941737193)
WP_003515024.1	50S ribosomal protein L33(0.496150568168)
WP_003516061.1	TIGR02710 family CRISPR-associated protein [Ruminiclostridium thermocellum](0.801743675917)
WP_003517617.1	Phosphoribosylformylglycinamidine synthase(0.631292689195)
WP_003520182.1	ACT domain-containing protein (Fragment)(0.384358451604)
WP_003515708.1	Carbohydrate binding family 25(0.696934442266)
WP_003514904.1	DUF47 domain-containing protein [Ruminiclostridium thermocellum](0.552838961545)
WP_003512028.1	PspC domain-containing protein [Ruminiclostridium thermocellum](0.312835455685)
WP_003516670.1	Serine-type D-Ala-D-Ala carboxypeptidase(0.588793962601)
WP_003512706.1	DNA metabolism protein [Ruminiclostridium thermocellum](0.601549483917)
WP_003518549.1	Adenylate kinase(0.514077163352)
WP_003517619.1	peptidyl-prolyl cis-trans isomerase [Ruminiclostridium thermocellum](0.31936049725)
WP_003520265.1	Predicted component of the ribosome quality control (RQC) complex, YloA/Tae2 family, contains fibronectin-binding (FbpA) and DUF814 domains(0.620311599941)
WP_003512846.1	Plasma-membrane calcium-translocating P-type ATPase(0.489087382243)
WP_003513581.1	Flagellin(0.628980649855)
WP_003522431.1	copper amine oxidase [Ruminiclostridium thermocellum](0.620571529335)
WP_003518476.1	Vacuolar H+transporting two-sector ATPase F subunit(0.78021673645)
WP_003513218.1	Sporulation integral membrane protein YtvI(0.446121573677)
WP_003512947.1	Surface layer protein(0.408387998811)
WP_003517677.1	Response regulator/anti-anti-sigma factor(0.306381272143)
WP_003516545.1	Methylthioribose-1-phosphate isomerase(0.658610570443)
WP_003513583.1	Flagellin(0.610714421846)
WP_003516071.1	CRISPR-associated protein(0.276284798047)
WP_003513253.1	chemotaxis protein CheX [Ruminiclostridium thermocellum](0.546234182841)
WP_003513585.1	Motility accessory factor(0.440401339307)
WP_003512020.1	Peptidyl-prolyl cis-trans isomerase(0.518780983355)
WP_003515440.1	Pyridoxamine 5'-phosphate oxidase(0.506949780147)
WP_003517942.1	Flagellar basal body rod protein FlgB(0.580709077832)
WP_003512387.1	DUF58 domain-containing protein [Ruminiclostridium thermocellum](0.571787965866)
WP_003512463.1	YyaL(0.428971507072)
WP_003514161.1	HAMP domain-containing histidine kinase(0.301149417376)
WP_003517096.1	GT2 family glycosyltransferase(0.261943893817)
WP_003515811.1	Urease accessory protein UreF(0.676770785435)
WP_003518855.1	Adenosylhomocysteinase(0.670941588129)
WP_014522648.1	Hedgehog/intein hint domain-containing protein [Ruminiclostridium thermocellum](0.661982784449)
WP_003512274.1	Glutamine synthetase type III(0.456386833174)
WP_003518160.1	Clostripain(0.725930138596)
WP_003515476.1	7,8-dihydroneopterin aldolase(0.634625769635)
WP_003515942.1	Membrane protease subunit, stomatin/prohibitin family, contains C-terminal Zn-ribbon domain(0.530731108353)
WP_003517667.1	Amino acid aminotransferase, putative(0.640117415869)
WP_003518291.1	Spore coat protein CotH(0.635942436556)
WP_003517726.1	leucine-rich repeat domain-containing protein [Ruminiclostridium thermocellum](0.407672202299)
WP_003512298.1	Glucose-resistance amylase regulator(0.35584297245)
WP_003516984.1	Pyruvate, phosphate dikinase(0.628445082077)
WP_003514175.1	Deoxyuridine 5'-triphosphate nucleotidohydrolase(0.438186288424)
WP_014522635.1	Metal dependent phosphohydrolase(0.272350512446)
WP_003514493.1	Purine-binding chemotaxis protein CheW(0.502592520706)
WP_004463813.1	RDD domain containing protein(0.365603150506)
WP_003517661.1	Thiamine pyrophosphokinase(0.535074807516)
WP_003519012.1	Heavy metal translocating P-type ATPase(0.420901448763)
WP_003516590.1	Methionine synthase activation domain(0.412434555675)
WP_003512475.1	Phosphoserine aminotransferase apoenzyme(0.559975240931)
WP_003515478.1	Dihydropteroate synthase(0.525122180498)
WP_003517330.1	Laminaribiose ABC transporter membrane protein /nucleoside ABC transporter membrane protein(0.574385844404)
WP_014522659.1	Glycopeptide resistance-associated protein R(0.386722441836)
WP_003514153.1	DUF378 domain-containing protein(0.77977509937)
WP_003518690.1	Glucanase(0.419812504357)
WP_003513361.1	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG(0.528417184446)
WP_003513303.1	TPR repeat-containing protein(0.367607794302)
WP_003514151.1	N-acyl-L-amino acid amidohydrolase(0.373785969324)
WP_003512288.1	Phosphoesterase(0.67605329297)
WP_003517492.1	DNA polymerase III subunit alpha(0.470038839802)
WP_003515849.1	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta(0.538043636279)
WP_003513363.1	Nucleoid occlusion protein Noc(0.682446691407)
WP_003512461.1	Homoserine dehydrogenase(0.547267458144)
WP_003513301.1	Serine--tRNA ligase(0.625817002877)
WP_003514292.1	YbaB/EbfC family nucleoid-associated protein(0.334889496101)
WP_003514163.1	CoA-binding domain(0.669352568093)
WP_003517090.1	Exoploysaccharide biosynthesis flippase enzyme(0.490419726592)
WP_003520743.1	Ferrous iron transport protein B(0.572334544509)
WP_003518759.1	Small integral membrane protein (DUF2273)(0.698639714425)
WP_003517768.1	Ubiquinone biosynthesis protein COQ7(0.865403393892)
WP_003512286.1	Response regulator receiver and ANTAR domain protein(0.431847976437)
WP_003513371.1	L-aspartate oxidase(0.6423407086)
WP_003517322.1	Integral membrane sensor signal transduction histidine kinase(0.285673006871)
WP_003514141.1	ABC transporter substrate-binding protein (Fragment)(0.467285447933)
WP_003518543.1	Energy-coupling factor transporter ATP-binding protein EcfA(0.631713183191)
WP_003518023.1	Ribonuclease R(0.58058907403)
WP_003514728.1	Extracellular solute-binding protein family 5(0.385261006072)
WP_003518458.1	Chemotaxis protein methyltransferase CheR(0.439806517459)
WP_003517324.1	Two-component system response regulator YesN(0.356055133762)
WP_003515048.1	Naphthoate synthase(0.714297384614)
WP_003517712.1	ABC-type transport system, ATP-binding protein(0.357942922963)
WP_003518049.1	GTPase Obg(0.564332721068)
WP_003514827.1	1,4-dihydroxy-2-naphthoate polyprenyltransferase(0.756175813022)
WP_003516738.1	Methionine--tRNA ligase(0.648487720409)
WP_003512278.1	Carbon-monoxide dehydrogenase iron sulfur subunit(0.597342743386)
WP_003517326.1	Deoxyribose-phosphate aldolase(0.676039386323)
WP_003517509.1	PsbP domain-containing protein(0.651645988556)
WP_003513840.1	Short-chain dehydrogenase(0.670772528716)
WP_003517350.1	NitT/TauT family transport system ATP-binding protein/sulfonate transport system ATP-binding protein(0.402253945607)
WP_003519111.1	D-alanyl-D-alanine carboxypeptidase DacF(0.433983464656)
WP_003517679.1	DUF503 domain-containing protein [Ruminiclostridium thermocellum](0.769609336905)
WP_003514829.1	Rubrerythrin(0.723996954729)
WP_003515076.1	Metallophosphoesterase(0.479992969005)
WP_003512363.1	NrdH-redoxin [Ruminiclostridium thermocellum](0.396132763104)
WP_003512770.1	Transketolase N-terminal subunit(0.508921542817)
ADU74032.1	Site-specific DNA recombinase(0.360916207452)
WP_003513844.1	Pyridoxal-5'-phosphate-dependent protein beta subunit(0.638669694176)
WP_003516730.1	Secreted protein containing C-terminal beta-propeller domain(0.785387526492)
WP_003517766.1	bacteriocin [Ruminiclostridium thermocellum](0.743861228528)
WP_003514835.1	nitroreductase [Ruminiclostridium thermocellum](0.438029008001)
WP_003519092.1	Anti-sigma regulatory factor(0.554185994493)
WP_003512284.1	L-glutamine synthetase(0.44966568853)
WP_003514375.1	Beta-lactamase superfamily II metal-dependent hydrolase(0.334981590316)
WP_003513680.1	30S ribosomal protein S6(0.50655886593)
WP_003518725.1	NAD(+) kinase [Ruminiclostridium thermocellum](0.435008682594)
WP_003514839.1	Predicted D-isomer specific 2-hydroxyacid dehydrogenase(0.496566564213)
WP_003514730.1	Oligopeptide ABC transporter ATP-binding protein OppF(0.367519106404)
WP_003516184.1	Acetyl-coenzyme A carboxyl transferase(0.518995252573)
ADU73688.1	Mu-like prophage protein Com(0.476565349741)
WP_003520820.1	Aminoglycoside phosphotransferase(0.521457282302)
WP_003519098.1	L-lactate dehydrogenase(0.616515410477)
WP_003515521.1	Spo0E family sporulation regulatory protein-aspartic acid phosphatase [Ruminiclostridium thermocellum](0.528187923405)
WP_003513854.1	Glycosyl transferase(0.26882405449)
WP_003515565.1	Translation elongation factor Ts(0.538779164712)
WP_003516164.1	Segregation and condensation protein A(0.538840859096)
WP_003516902.1	Methyl-accepting chemotaxis sensory transducer(0.262537625372)
WP_003517754.1	Modulator of the general stress response(0.519800511806)
WP_003517357.1	Nitrogenase iron-molybdenum cofactor biosynthesis protein NifB(0.688413354993)
WP_003516188.1	Methylmalonyl-CoA decarboxylase gamma subunit(0.469730077249)
WP_003516166.1	RDD family protein [Ruminiclostridium thermocellum](0.374503788892)
WP_003517328.1	Cytidine deaminase(0.57578609037)
WP_003517098.1	TupA-like ATPgrasp polysaccharide biosynthesis protein(0.499415099197)
WP_003516646.1	germination protein [Ruminiclostridium thermocellum](0.412472832455)
WP_003517161.1	Branched-chain-amino-acid aminotransferase(0.599463062151)
WP_003515531.1	Riboflavin biosynthesis protein RibF(0.45796207939)
WP_003515557.1	Isoprenyl transferase(0.543994245166)
WP_003516481.1	Class I SAM-dependent methyltransferase(0.272050303177)
WP_003518053.1	Dehydrogenase(0.434800546872)
WP_003513736.1	pilus assembly protein [Ruminiclostridium thermocellum](0.510952869133)
WP_003513095.1	Sulfate adenylyltransferase subunit CysD(0.523197823181)
WP_003516626.1	zf-TFIIB domain-containing protein(0.338404177226)
WP_003512115.1	dockerin [Ruminiclostridium thermocellum](0.527008417761)
WP_003515883.1	Nucleotide kinase(0.803152939409)
WP_080514903.1	Prepilin peptidase CpaA(0.40973859205)
WP_003517414.1	Putative transmembrane protein YxlG(0.404801488901)
ADU75721.1	IMPACT family member YigZ(0.575569971104)
WP_003512117.1	HPr kinase/phosphorylase(0.767703651106)
WP_003515646.1	Extracellular solute-binding protein family 1(0.362622937451)
WP_003516895.1	Probable regulatory protein embR(0.497290681873)
WP_003520969.1	Endoglucanase G(0.578845954639)
WP_003511547.1	Cof-type HAD-IIB family hydrolase [Ruminiclostridium thermocellum](0.318825326178)
WP_003511653.1	Flavin reductase domain protein FMN-binding(0.460982583878)
ADU74765.1	LysM domain-containing protein(0.26582601122)
WP_003513190.1	DeoR/GlpR transcriptional regulator [Ruminiclostridium thermocellum](0.390578690106)
WP_003514645.1	50S ribosomal protein L24(0.502161636718)
WP_003512127.1	Probable cell division protein WhiA(0.67307679319)
WP_003513085.1	Anaerobic sulfite reductase subunit C(0.631493138446)
WP_003518460.1	Periplasmic component of amino acid ABC-type transporter/signal transduction system(0.379308417557)
WP_003511651.1	Bacteriohemerythrin(0.755806430168)
WP_003516157.1	Beta-lactamase regulating signal transducer with metallopeptidase domain(0.462443877085)
WP_003516190.1	Oxaloacetate decarboxylase subunit alpha(0.579709539016)
WP_003512129.1	Anti-sigma F factor antagonist(0.50147743877)
WP_003512336.1	ADP-ribosylation/Crystallin J1(0.389436827628)
WP_003517401.1	Glutamyl-tRNA(Gln) amidotransferase subunit A(0.545076765646)
WP_003513438.1	chemotaxis protein CheX [Ruminiclostridium thermocellum](0.549986696764)
WP_003516159.1	VWA domain-containing protein(0.333433118107)
WP_003519324.1	Osmosensitive K+ channel histidine kinase KdpD(0.333818928205)
WP_003514649.1	Ribosomal protein S14(0.587206298016)
WP_003514667.1	Type I methionyl aminopeptidase(0.488004649871)
WP_003516367.1	Cell division initiation protein DivIVA(0.461273787087)
WP_003512109.1	Riboflavin biosynthesis protein RibBA(0.667429844391)
WP_003519299.1	Thioester reductase(0.345402086104)
WP_003516107.1	tRNA-guanine transglycosylase(0.70457897919)
WP_003515513.1	Cell division protein FtsL(0.46521179537)
WP_003511673.1	Bacterial regulatory s, tetR family protein(0.266547973172)
WP_003517736.1	Small ribosomal subunit biogenesis GTPase RsgA(0.498886790865)
WP_003518661.1	Amino acid-binding ACT domain protein(0.437191871392)
WP_003511555.1	Transglutaminase-like enzyme(0.409614030296)
WP_003513460.1	Subtype I-B CRISPR-associated endonuclease Cas1(0.654185099731)
ADU73992.1	Signal peptidase I(0.486492903583)
WP_003515579.1	RNA polymerase sporulation-specific sigma factor(0.41200313694)
WP_003514305.1	Ribosomal protein S7 (Fragment)(0.515798017328)
WP_003517903.1	Cell division protein FtsZ(0.525720200155)
WP_003518259.1	Two-component system alkaline phosphatase synthesis response regulator PhoP(0.387783267841)
WP_011838186.1	Transposase(0.314331012681)
WP_003513961.1	Alkyl hydroperoxide reductase protein F(0.498957156379)
WP_003515892.1	Amidohydrolase(0.457630420467)
ADU74998.1	S-adenosylmethionine-dependent methyltransferase(0.45686139881)
WP_003518358.1	Sulfate transport system permease protein CysW(0.634034592831)
WP_003521086.1	Stage 0 sporulation protein A(0.78395648882)
WP_003516566.1	Flp pilus assembly protein TadB(0.417237516192)
WP_003515894.1	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE(0.440002162851)
WP_003513765.1	Xylanase (Fragment)(0.494124705412)
WP_003512119.1	PHP family phosphohydrolase, histidinol phosphatase(0.579195917978)
WP_003514679.1	DNA-directed RNA polymerase subunit alpha(0.496026163893)
WP_003516560.1	ATPase(0.399341833001)
WP_003512574.1	DRTGG domain-containing protein(0.793757964578)
WP_003513767.1	Iron-only hydrogenase maturation rSAM protein HydE(0.454942951826)
WP_003515989.1	Putative transcriptional regulator(0.247619892706)
WP_003514675.1	30S ribosomal protein S11(0.522263433857)
WP_003511604.1	LL-diaminopimelate aminotransferase apoenzyme(0.782953930727)
WP_003517185.1	2-oxoglutarate ferredoxin oxidoreductase subunit beta(0.594768939218)
WP_003513973.1	Cell division protein FtsK(0.461809988502)
WP_003514673.1	30S ribosomal protein S13(0.533752767607)
WP_003513951.1	Extracellular solute-binding protein family 1(0.315578365953)
WP_003517187.1	Ketoisovalerate oxidoreductase subunit VorB(0.509671729331)
WP_003512910.1	peptidyl-prolyl cis-trans isomerase [Ruminiclostridium thermocellum](0.443134690864)
WP_003515847.1	Prephenate dehydrogenase TyrA(0.592412661808)
WP_003513600.1	Pseudaminic acid biosynthesis N-acetyl transferase(0.473326634617)
WP_003513380.1	Cell wall hydrolase SleB(0.616531277595)
WP_003513773.1	O-acetylhomoserine sulfhydrylase / O-succinylhomoserine sulfhydrylase(0.482216473037)
WP_003515630.1	Germination protease(0.789156491798)
WP_003512912.1	Aminoacyl-tRNA hydrolase(0.585517866869)
WP_003517840.1	Antitoxin HigA(0.449677604974)
WP_003519444.1	TM2 domain-containing membrane protein YozV(0.37882336428)
WP_003517987.1	Protein-glutamate methylesterase/protein-glutamine glutaminase(0.658982311403)
WP_003517026.1	Elongation factor 4(0.530333202435)
WP_014522591.1	Endo-1,4-beta-xylanase(0.481551530291)
WP_003516025.1	Putative phage protein (Predicted DNA packaging)(0.689827805756)
WP_003518029.1	MiaB-like protein tRNA modifying enzyme(0.513764562337)
WP_003511549.1	radical SAM protein [Ruminiclostridium thermocellum](0.286680448578)
WP_003517911.1	RNA polymerase sigma factor(0.426324981795)
WP_003511976.1	copper amine oxidase [Ruminiclostridium thermocellum](0.590101456269)
WP_003516027.1	Bacteriophage HK97-gp10 putative tail-component(0.785298431361)
WP_003514677.1	30S ribosomal subunit protein S4(0.504077890921)
WP_003515581.1	Sporulation integral membrane protein YtvI(0.468211346366)
WP_003517834.1	ClbS/DfsB family four-helix bundle protein(0.586454881613)
WP_003515987.1	ATPase component of ABC-type antimicrobial peptide transport system(0.360921025936)
WP_003512803.1	Stage V sporulation protein B(0.601344008598)
WP_003518955.1	Predicted nucleotidyltransferase(0.579291316289)
WP_003516017.1	GGACT domain-containing protein(0.528095537322)
WP_003512062.1	Nucleoside triphosphate pyrophosphatase(0.569613301759)
WP_003518526.1	Copper amine oxidase(0.52173104617)
WP_003517836.1	Thioredoxin-dependent thiol peroxidase(0.646114116898)
WP_003515985.1	ABC-type transport system, involved in lipoprotein release, permease component(0.396230841118)
WP_003516530.1	Replication-associated recombination protein RarA(0.412072731625)
WP_003512064.1	Cell shape determining protein, MreB/Mrl family(0.56603686917)
WP_003514126.1	Mini-ribonuclease 3(0.783366604703)
WP_003513436.1	Carbon-nitrogen hydrolase domain profile(0.477146927452)
WP_003518524.1	Resolvase domain protein(0.46938902791)
WP_003515983.1	sensor histidine kinase [Ruminiclostridium thermocellum](0.252358313914)
WP_003518959.1	Small GTP-binding protein domain(0.57613419994)
WP_003513026.1	Lipopolysaccharide biosynthesis protein RfbH(0.774489274857)
WP_003514230.1	Anti-sigma-I factor RsgI6(0.548361055991)
WP_003515999.1	Phage terminase small subunit(0.513974529121)
WP_003515302.1	ABC-type transporter periplasmic component(0.385971227406)
WP_003514124.1	rRNA methyltransferase(0.433933931532)
WP_003517979.1	Flagellar biosynthetic protein FliQ(0.594166545262)
WP_003515503.1	Stage V sporulation protein E(0.573808782177)
WP_003511531.1	Two component transcriptional regulator(0.297800275685)
WP_003519304.1	Amino acid adenylation domain-containing protein(0.349610232714)
WP_003517505.1	rRNA methyltransferase(0.460063564374)
WP_003513547.1	ATP-dependent zinc metalloprotease FtsH(0.491518946855)
WP_003518235.1	Lipoprotein NlpI(0.326965434125)
WP_003519285.1	Methyl-accepting chemotaxis sensory transducer(0.304540041413)
WP_003513028.1	dTDP-4-oxo-6-deoxy-D-allose reductase(0.306256908327)
WP_003514338.1	DUF402 domain-containing protein [Ruminiclostridium thermocellum](0.776001315332)
WP_003514206.1	Nucleoside recognition domain protein(0.625908498212)
WP_003512807.1	tRNA-dihydrouridine synthase(0.669771007991)
WP_003519418.1	D-galactonate transporter(0.380738503115)
WP_003517501.1	Adhesion or S-layer protein(0.713026667794)
WP_003511942.1	Mannan endo-1 4-beta-mannosidase(0.575075573303)
WP_003517075.1	30S ribosomal protein S21(0.540684301028)
WP_003511964.1	Iron-only hydrogenase maturation protein HydF(0.78539357082)
WP_003516865.1	Amidase domain-containing protein(0.599675285034)
WP_003516029.1	Phage major tail protein phi13(0.787570907844)
WP_003514204.1	Predicted spore maturation protein B(0.724850438799)
WP_003520369.1	DNA repair exonuclease SbcCD nuclease subunit(0.525414374539)
WP_003516403.1	Putative HTH-type transcriptional repressor ExuR(0.3094185561)
WP_003514110.1	GGDEF domain-containing protein(0.448326645232)
WP_003517774.1	Nitrogen regulatory protein P-II family /ammonium transporter(0.483585822031)
WP_003518516.1	Proline--tRNA ligase(0.617308546218)
WP_003516078.1	CRISPR/Cas system CSM-associated protein Csm3, group 7 of RAMP superfamily(0.499059950454)
WP_003515045.1	Resolvase(0.615604440775)
WP_003517045.1	pilus assembly protein [Ruminiclostridium thermocellum](0.389774268207)
WP_003513954.1	Class I SAM-dependent methyltransferase(0.476921827263)
WP_003512202.1	Potential ribosomal protein(0.518321118594)
WP_003514618.1	30S ribosomal protein S10(0.519802763858)
WP_003518963.1	Purine-binding chemotaxis protein CheW(0.508669955124)
WP_003516277.1	Copper amine oxidase-like domain-containing protein(0.607126674141)
WP_003515499.1	UDP-N-acetylglucosamine enolpyruvyl transferase(0.62913489748)
WP_003517514.1	Glycogen synthase(0.572099595376)
WP_003516296.1	Pyridoxal phosphate-dependent aminotransferase(0.544422517006)
WP_003514225.1	Integral membrane sensor signal transduction histidine kinase(0.365452729435)
WP_003513012.1	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component(0.397467766499)
WP_003517490.1	Putative signal transducing protein(0.488385220476)
WP_003512502.1	UvrABC system protein B(0.53196309623)
WP_003519302.1	Glycosyl transferase(0.266476075574)
WP_003513545.1	Hypoxanthine-guanine phosphoribosyltransferase(0.546176714553)
WP_003520699.1	Pyrimidine (Deoxy)nucleoside triphosphate pyrophosphohydrolase(0.391757656233)
WP_003516411.1	sugar ABC transporter substrate-binding protein [Ruminiclostridium thermocellum](0.396948899877)
WP_003513458.1	CRISPR-associated exonuclease Cas4(0.78585230813)
WP_003517963.1	Flagellar biosynthesis protein(0.731296223708)
WP_003518903.1	N-acetyl-gamma-glutamyl-phosphate reductase(0.65239910133)
WP_003515658.1	Putative competence-damage inducible protein(0.786530877357)
WP_003515828.1	Response regulator receiver modulated diguanylate cyclase(0.322949333463)
WP_003515629.1	Cell wall hydrolase(0.307389475402)
