#;Locus tag;Length;Product;Completeness;Gene onthology;SEED;Protein databases;Genome annotation databases;Family and domain databases;Crossreferences;
388;WP_003514146.1 putative sporulation protein YtxC [Hungateiclostridium thermocellum];307;Sporulation protein YtxC;100.00% [307/307];;;Uniprot (A3DH49)|Interpro (A3DH49);KEGG (cth:Cthe_2071)|KEGG GM (cth:Cthe_2071);Interpro (IPR014199)|Pfam (PF08812);NCBI (489609705)|EMBL (CP000568);
389;ADU74284.1 hypothetical protein Clo1313_1220 [Hungateiclostridium thermocellum DSM 1313];Blast running;;;;;;;;;
390;WP_003518270.1 hypothetical protein [Hungateiclostridium thermocellum];147;C_GCAxxG_C_C family protein;99.32% [147/148];;;Uniprot (A3DFA1)|Interpro (A3DFA1);KEGG (cth:Cthe_1399)|KEGG GM (cth:Cthe_1399);Interpro (IPR010181)|Pfam (PF09719);NCBI (125714138)|EMBL (CP000568);
391;WP_003519241.1 amino acid ABC transporter substrate-binding protein [Hungateiclostridium thermocellum];269;Extracellular solute-binding protein family 3;100.00% [269/269];;;Uniprot (A3DFF8)|Interpro (A3DFF8);KEGG (cth:Cthe_1458)|KEGG GM (cth:Cthe_1458);Interpro (IPR001638)|Pfam (PF00497);NCBI (489614800)|EMBL (CP000568);
392;WP_003516940.1 hypothetical protein [Hungateiclostridium thermocellum];76;Uncharacterized protein;65.52% [76/116];GO:0016021 - integral component of membrane;;Uniprot (F3ZXW2)|Interpro (F3ZXW2);KEGG (mas:Mahau_1440)|KEGG GM (mas:Mahau_1440);;NCBI (332699691)|EMBL (CP002360);
393;WP_003518296.1 polyphosphate polymerase domain-containing protein [Hungateiclostridium thermocellum];225;VTC domain-containing protein;98.68% [225/228];;;Uniprot (A3DFA9)|Interpro (A3DFA9);KEGG (cth:Cthe_1407)|KEGG GM (cth:Cthe_1407);Interpro (IPR018966)|Pfam (PF09359);NCBI (490598780)|EMBL (CP000568);
394;WP_003519521.1 hypothetical protein [Hungateiclostridium thermocellum];98;INTEIN_C_TER domain-containing protein;100.00% [98/98];GO:0016539 - intein-mediated protein splicing;;Uniprot (W4VDX2)|Interpro (W4VDX2);;Interpro (IPR003587)|Interpro (IPR036844)|Interpro (IPR030934)|Interpro (IPR006141);EMBL (BAVR01000112);
395;WP_037295130.1 hypothetical protein [Ruminiclostridium thermocellum];Blast running;;;;;;;;;
396;WP_003514832.1 copper amine oxidase [Hungateiclostridium thermocellum];235;Copper amine oxidase-like domain-containing protein;100.00% [235/235];;;Uniprot (A3DJV5)|Interpro (A3DJV5);KEGG (cth:Cthe_3038)|KEGG GM (cth:Cthe_3038);Interpro (IPR012854)|Interpro (IPR036582)|Pfam (PF07833);NCBI (489610391)|EMBL (CP000568);
397;WP_003519531.1 hypothetical protein [Hungateiclostridium thermocellum];171;Uncharacterized protein;83.41% [171/205];;;Uniprot (A3DJD1)|Interpro (A3DJD1);KEGG (cth:Cthe_2862)|KEGG GM (cth:Cthe_2862);;NCBI (521293680)|EMBL (CP000568);
398;WP_003512368.1 polyphosphate polymerase domain-containing protein [Hungateiclostridium thermocellum];259;VTC domain-containing protein;99.62% [259/260];;;Uniprot (A3DC00)|Interpro (A3DC00);KEGG (cth:Cthe_0240)|KEGG GM (cth:Cthe_0240);Interpro (IPR033469)|Interpro (IPR018966)|Pfam (PF09359);NCBI (500163113)|EMBL (CP000568);
399;WP_003520706.1 DUF2971 domain-containing protein [Hungateiclostridium thermocellum];199;Uncharacterized protein;61.80% [199/322];;;Uniprot (A0A2K9ESW1)|Interpro (A0A2K9ESW1);KEGG (hsc:HVS_13885)|KEGG GM (hsc:HVS_13885);Interpro (IPR021352)|Pfam (PF11185);NCBI (1315083189)|EMBL (CP025197);
400;WP_003519478.1 copper amine oxidase N-terminal domain-containing protein [Hungateiclostridium thermocellum];260;Copper amine oxidase-like domain-containing protein;99.24% [260/262];;;Uniprot (A3DKE2)|Interpro (A3DKE2);KEGG (cth:Cthe_3226)|KEGG GM (cth:Cthe_3226);Interpro (IPR012854)|Interpro (IPR036582)|Pfam (PF07833);NCBI (489607417)|EMBL (CP000568);
401;WP_003517995.1 hypothetical protein [Hungateiclostridium thermocellum];103;Uncharacterized protein;100.00% [103/103];;;Uniprot (A3DCQ7)|Interpro (A3DCQ7);KEGG (cth:Cthe_0499)|KEGG GM (cth:Cthe_0499);;NCBI (489613554)|EMBL (CP000568);
402;WP_003512352.1 hypothetical protein [Hungateiclostridium thermocellum];331;Uncharacterized protein;100.00% [331/331];GO:0016021 - integral component of membrane;;Uniprot (A3DBZ2)|Interpro (A3DBZ2);KEGG (cth:Cthe_0232)|KEGG GM (cth:Cthe_0232);;NCBI (489607911)|EMBL (CP000568);
403;WP_003516905.1 DUF4190 domain-containing protein [Hungateiclostridium thermocellum];144;DUF4190 domain-containing protein;100.00% [144/144];GO:0016021 - integral component of membrane;;Uniprot (A3DJU9)|Interpro (A3DJU9);KEGG (cth:Cthe_3032)|KEGG GM (cth:Cthe_3032);Interpro (IPR025241)|Pfam (PF13828);NCBI (489612464)|EMBL (CP000568);
404;WP_003518419.1 hypothetical protein [Hungateiclostridium thermocellum];39;PT-TG domain-containing protein;48.15% [39/81];;;Uniprot (A0A369X582)|Interpro (A0A369X582);;Interpro (IPR036689)|Interpro (IPR027797)|Pfam (PF14449);EMBL (QQOL01000004);
405;WP_003519398.1 hypothetical protein [Hungateiclostridium thermocellum];152;Uncharacterized protein;100.00% [152/152];GO:0016021 - integral component of membrane;;Uniprot (A3DF75)|Interpro (A3DF75);KEGG (cth:Cthe_1372)|KEGG GM (cth:Cthe_1372);;NCBI (489614957)|EMBL (CP000568);
406;WP_003519513.1 hypothetical protein [Hungateiclostridium thermocellum];161;Uncharacterized protein;97.58% [161/165];GO:0016021 - integral component of membrane;;Uniprot (A3DKD9)|Interpro (A3DKD9);KEGG (cth:Cthe_3223)|KEGG GM (cth:Cthe_3223);;NCBI (489607402)|EMBL (CP000568);
407;WP_003512309.1 DUF975 family protein [Hungateiclostridium thermocellum];257;Uncharacterized protein;100.00% [257/257];GO:0016021 - integral component of membrane;;Uniprot (A3DBX5)|Interpro (A3DBX5);KEGG (cth:Cthe_0213)|KEGG GM (cth:Cthe_0213);Interpro (IPR010380)|Pfam (PF06161);NCBI (489607868)|EMBL (CP000568);
408;WP_014522622.1 helix-turn-helix domain-containing protein [Hungateiclostridium thermocellum];158;Uncharacterized protein;57.88% [158/273];;;Uniprot (A0A1B1YJE1)|Interpro (A0A1B1YJE1);;Interpro (IPR036388)|Interpro (IPR036390);NCBI (1049309533)|EMBL (CP014673);
409;WP_003514075.1 hypothetical protein [Hungateiclostridium thermocellum];196;Uncharacterized protein;98.49% [196/199];;;Uniprot (A0A4Q0I322)|Interpro (A0A4Q0I322);;;EMBL (RLII01000025);
410;WP_003516485.1 hypothetical protein [Hungateiclostridium thermocellum];56;Uncharacterized protein;84.85% [56/66];;;Uniprot (A0A4Q0I8B0)|Interpro (A0A4Q0I8B0);;;EMBL (RLII01000002);
411;WP_003521100.1 hypothetical protein [Hungateiclostridium thermocellum];56;Uncharacterized protein;90.32% [56/62];;;Uniprot (A0A2K9DXX7)|Interpro (A0A2K9DXX7);KEGG (hsc:HVS_02150)|KEGG GM (hsc:HVS_02150);;NCBI (1315080936)|EMBL (NEMB01000003);
412;ADU74389.1 hypothetical protein Clo1313_1326 [Hungateiclostridium thermocellum DSM 1313];56;Uncharacterized protein;100.00% [56/56];;;Uniprot (G2JC77)|Interpro (G2JC77);KEGG (cth:Cthe_3330)|KEGG GM (cth:Cthe_3330);;NCBI (345548292)|EMBL (CP000568);
413;WP_003517777.1 hypothetical protein [Hungateiclostridium thermocellum];209;Uncharacterized protein;98.58% [209/212];;;Uniprot (A3DFJ6)|Interpro (A3DFJ6);KEGG (cth:Cthe_1497)|KEGG GM (cth:Cthe_1497);;NCBI (500163432)|EMBL (CP000568);
414;WP_003512672.1 hypothetical protein [Hungateiclostridium thermocellum];201;Uncharacterized protein;100.00% [201/201];GO:0016021 - integral component of membrane;;Uniprot (A3DCE5)|Interpro (A3DCE5);KEGG (cth:Cthe_0386)|KEGG GM (cth:Cthe_0386);;NCBI (489608231)|EMBL (CP000568);
415;WP_003521118.1 hypothetical protein [Hungateiclostridium thermocellum];48;Uncharacterized protein;73.85% [48/65];;;Uniprot (G2JCA0)|Interpro (G2JCA0);KEGG (cth:Cthe_3359)|KEGG GM (cth:Cthe_3359);;NCBI (345548316)|EMBL (CP000568);
416;WP_003517565.1 hypothetical protein [Hungateiclostridium thermocellum];206;Uncharacterized protein;99.52% [206/207];GO:0016021 - integral component of membrane;;Uniprot (A3DCT8)|Interpro (A3DCT8);KEGG (cth:Cthe_0531)|KEGG GM (cth:Cthe_0531);;NCBI (500163193)|EMBL (CP000568);
417;WP_003512498.1 DUF4234 domain-containing protein [Hungateiclostridium thermocellum];119;Uncharacterized protein;100.00% [119/119];GO:0016021 - integral component of membrane;;Uniprot (A3DC66)|Interpro (A3DC66);KEGG (cth:Cthe_0307)|KEGG GM (cth:Cthe_0307);Interpro (IPR025328)|Pfam (PF14018);NCBI (125713053)|EMBL (CP000568);
418;WP_003511628.1 hypothetical protein [Hungateiclostridium thermocellum];158;Uncharacterized protein;99.37% [158/159];;;Uniprot (A3DK27)|Interpro (A3DK27);KEGG (cth:Cthe_3111)|KEGG GM (cth:Cthe_3111);;NCBI (521293754)|EMBL (CP000568);
419;WP_003517754.1 arsenate reductase family protein [Hungateiclostridium thermocellum];117;Arsenate reductase or related protein;99.15% [117/118];GO:0005623 - obsolete cell|GO:0009055 - electron transfer activity|GO:0015035 - protein disulfide oxidoreductase activity|GO:0045454 - cell redox homeostasis;;Uniprot (A3DFK7)|Interpro (A3DFK7);KEGG (cth:Cthe_1508)|KEGG GM (cth:Cthe_1508)|KEGG EC (1.20.4.1);Interpro (IPR006660)|Interpro (IPR002109)|Interpro (IPR036249)|Interpro (IPR006504)|Pfam (PF03960)|Pfam (PF00462);NCBI (500163439)|EMBL (CP000568);
420;WP_003511908.1 hypothetical protein [Hungateiclostridium thermocellum];85;Uncharacterized protein;77.98% [85/109];GO:0016021 - integral component of membrane;;Uniprot (A3DBC3)|Interpro (A3DBC3);KEGG (cth:Cthe_0010)|KEGG GM (cth:Cthe_0010);;NCBI (489607464)|EMBL (CP000568);
421;WP_003512666.1 hypothetical protein [Hungateiclostridium thermocellum];159;Uncharacterized protein;99.38% [159/160];;;Uniprot (A3DCE1)|Interpro (A3DCE1);KEGG (cth:Cthe_0382)|KEGG GM (cth:Cthe_0382);;NCBI (500163150)|EMBL (CP000568);
422;WP_037294512.1 hypothetical protein [Hungateiclostridium thermocellum];Blast running;;;;;;;;;
423;ADU74629.1 hypothetical protein Clo1313_1568 [Hungateiclostridium thermocellum DSM 1313];57;Uncharacterized protein;100.00% [57/57];GO:0016021 - integral component of membrane;;Uniprot (G2JC72)|Interpro (G2JC72);KEGG (cth:Cthe_3324)|KEGG GM (cth:Cthe_3324);;NCBI (345548287)|EMBL (CP000568);
424;WP_003516928.1 hypothetical protein [Hungateiclostridium thermocellum];69;Uncharacterized protein;89.61% [69/77];;;Uniprot (A3DJR2)|Interpro (A3DJR2);KEGG (cth:Cthe_2995)|KEGG GM (cth:Cthe_2995);;NCBI (125715699)|EMBL (CP000568);
425;WP_003517032.1 hypothetical protein [Hungateiclostridium thermocellum];69;Uncharacterized protein;100.00% [69/69];;;Uniprot (G2JC97)|Interpro (G2JC97);KEGG (cth:Cthe_3350)|KEGG GM (cth:Cthe_3350);;NCBI (489612591)|EMBL (CP000568);
426;WP_003520731.1 hypothetical protein [Ruminiclostridium thermocellum];Blast running;;;;;;;;;
427;WP_003515694.1 sporulation protein YqfC [Hungateiclostridium thermocellum];105;Sporulation protein YqfC;100.00% [105/105];;;Uniprot (A3DEC6)|Interpro (A3DEC6);KEGG (cth:Cthe_1073)|KEGG GM (cth:Cthe_1073);Interpro (IPR022476)|Interpro (IPR022477)|Pfam (PF07873);NCBI (489611253)|EMBL (CP000568);
428;WP_003516275.1 hypothetical protein [Hungateiclostridium thermocellum];136;Uncharacterized protein;100.00% [136/136];;;Uniprot (A3DDE8)|Interpro (A3DDE8);KEGG (cth:Cthe_0742)|KEGG GM (cth:Cthe_0742);;NCBI (489611834)|EMBL (CP000568);
429;WP_003519280.1 hypothetical protein [Hungateiclostridium thermocellum];34;Methyltransf_11 domain-containing protein;41.46% [34/82];GO:0008168 - methyltransferase activity;;Uniprot (W4V7Y0)|Interpro (W4V7Y0);;Interpro (IPR013216)|Interpro (IPR029063)|Pfam (PF08241);EMBL (BAVR01000026);
430;WP_003514336.1 hypothetical protein [Hungateiclostridium thermocellum];107;Uncharacterized protein;100.00% [107/107];;;Uniprot (A3DJ15)|Interpro (A3DJ15);KEGG (cth:Cthe_2745)|KEGG GM (cth:Cthe_2745);;NCBI (489609895)|EMBL (CP000568);
431;WP_003517485.1 copper amine oxidase N-terminal domain-containing protein [Hungateiclostridium thermocellum];259;Copper amine oxidase-like domain-containing protein;100.00% [259/259];;;Uniprot (A3DEW1)|Interpro (A3DEW1);KEGG (cth:Cthe_1258)|KEGG GM (cth:Cthe_1258);Interpro (IPR012854)|Interpro (IPR036582)|Pfam (PF07833);NCBI (489613044)|EMBL (CP000568);
432;WP_003519621.1 hypothetical protein [Hungateiclostridium thermocellum];82;YD repeat-containing protein;97.62% [82/84];;;Uniprot (A3DBB7)|Interpro (A3DBB7);KEGG (cth:Cthe_0004)|KEGG GM (cth:Cthe_0004);Interpro (IPR036689)|Interpro (IPR011047)|Interpro (IPR022385)|Interpro (IPR031325)|Interpro (IPR006530)|Pfam (PF05593);NCBI (125712754)|EMBL (CP000568);
433;WP_003517959.1 flagellar hook-length control protein FliK [Hungateiclostridium thermocellum];527;Flagellar hook-length control protein-like C-terminal domain-containing protein;99.81% [527/528];;Flagellum;Uniprot (A3DCN0)|Interpro (A3DCN0);KEGG (cth:Cthe_0471)|KEGG GM (cth:Cthe_0471);Interpro (IPR021136)|Interpro (IPR038610)|Pfam (PF02120);NCBI (500163168)|EMBL (CP000568);
434;WP_003512055.1 hypothetical protein [Hungateiclostridium thermocellum];181;Uncharacterized protein;100.00% [181/181];;;Uniprot (A3DBJ6)|Interpro (A3DBJ6);KEGG (cth:Cthe_0084)|KEGG GM (cth:Cthe_0084);;NCBI (489607614)|EMBL (CP000568);
435;WP_003511777.1 AAA family ATPase [Hungateiclostridium thermocellum];406;AAA_31 domain-containing protein;100.00% [406/406];;;Uniprot (A3DKA7)|Interpro (A3DKA7);KEGG (cth:Cthe_3191)|KEGG GM (cth:Cthe_3191);Interpro (IPR025669)|Interpro (IPR027417)|Pfam (PF13614);NCBI (489607336)|EMBL (CP000568);
436;WP_003519076.1 hypothetical protein [Hungateiclostridium thermocellum];150;Uncharacterized protein;98.68% [150/152];GO:0016021 - integral component of membrane;;Uniprot (A3DCJ6)|Interpro (A3DCJ6);KEGG (cth:Cthe_0437)|KEGG GM (cth:Cthe_0437);;NCBI (490598118)|EMBL (CP000568);
437;WP_003516489.1 hypothetical protein [Hungateiclostridium thermocellum];355;Uncharacterized protein;100.00% [355/355];;;Uniprot (A3DD01)|Interpro (A3DD01);KEGG (cth:Cthe_0595)|KEGG GM (cth:Cthe_0595);Interpro (IPR029035);NCBI (489612048)|EMBL (CP000568);
438;WP_003515885.1 hypothetical protein [Hungateiclostridium thermocellum];127;Uncharacterized protein;100.00% [127/127];;;Uniprot (A3DGC1)|Interpro (A3DGC1);KEGG (cth:Cthe_1779)|KEGG GM (cth:Cthe_1779);;NCBI (125714508)|EMBL (CP000568);
439;WP_003513895.1 hypothetical protein [Hungateiclostridium thermocellum];132;Uncharacterized protein;64.39% [132/205];;;Uniprot (A3DJD1)|Interpro (A3DJD1);KEGG (cth:Cthe_2862)|KEGG GM (cth:Cthe_2862);;NCBI (521293680)|EMBL (CP000568);
440;WP_003517009.1 hypothetical protein [Hungateiclostridium thermocellum];67;Uncharacterized protein;100.00% [67/67];;;Uniprot (G2JC96)|Interpro (G2JC96);KEGG (cth:Cthe_3349)|KEGG GM (cth:Cthe_3349);;NCBI (489612568)|EMBL (CP000568);
441;WP_003520733.1 hypothetical protein [Hungateiclostridium thermocellum];47;ABC-2 family transporter protein;26.26% [47/179];GO:0016021 - integral component of membrane;;Uniprot (A0A143XIM7)|Interpro (A0A143XIM7);;;EMBL (FCNS01000009);
442;WP_003519029.1 spore coat protein CotJB [Hungateiclostridium thermocellum];81;Spore coat protein CotJB;100.00% [81/81];;;Uniprot (A3DCH4)|Interpro (A3DCH4);KEGG (cth:Cthe_0415)|KEGG GM (cth:Cthe_0415);Interpro (IPR016571)|Interpro (IPR024207)|Pfam (PF12652);NCBI (489614588)|EMBL (CP000568);
443;WP_003514842.1 DUF2752 domain-containing protein [Hungateiclostridium thermocellum];113;DUF2752 domain-containing protein;75.33% [113/150];GO:0016021 - integral component of membrane;;Uniprot (A0A4Q0I404)|Interpro (A0A4Q0I404);;Interpro (IPR021215)|Pfam (PF10825);EMBL (RLII01000010);
444;WP_037294357.1 hypothetical protein [Ruminiclostridium thermocellum];35;Uncharacterized protein;47.30% [35/74];GO:0016021 - integral component of membrane;;Uniprot (A0A1I0KHK6)|Interpro (A0A1I0KHK6);;;EMBL (FOIP01000002);
445;WP_003513904.1 S-layer homology domain-containing protein [Hungateiclostridium thermocellum];521;S-layer domain-containing protein;100.00% [521/521];GO:0016021 - integral component of membrane;;Uniprot (A3DGS0)|Interpro (A3DGS0);KEGG (cth:Cthe_1931)|KEGG GM (cth:Cthe_1931);Interpro (IPR001119)|Pfam (PF00395);NCBI (489609463)|EMBL (CP000568);
446;WP_003518005.1 hypothetical protein [Hungateiclostridium thermocellum];136;Uncharacterized protein;100.00% [136/136];;;Uniprot (A3DCR6)|Interpro (A3DCR6);KEGG (cth:Cthe_0508)|KEGG GM (cth:Cthe_0508);;NCBI (489613564)|EMBL (CP000568);
447;WP_003514981.1 hypothetical protein [Hungateiclostridium thermocellum];156;Uncharacterized protein;100.00% [156/156];;;Uniprot (A3DJC7)|Interpro (A3DJC7);KEGG (cth:Cthe_2857)|KEGG GM (cth:Cthe_2857);;NCBI (489610540)|EMBL (CP000568);
448;WP_003516231.1 YkuS family protein [Hungateiclostridium thermocellum];95;Uncharacterized protein;100.00% [95/95];;;Uniprot (A3DDC4)|Interpro (A3DDC4);KEGG (cth:Cthe_0718)|KEGG GM (cth:Cthe_0718);Interpro (IPR005370)|Pfam (PF03698);NCBI (489611790)|EMBL (CP000568);
449;WP_003513574.1 hypothetical protein [Hungateiclostridium thermocellum];192;Uncharacterized protein;100.00% [192/192];;;Uniprot (A3DHL4)|Interpro (A3DHL4);KEGG (cth:Cthe_2241)|KEGG GM (cth:Cthe_2241);;NCBI (489609133)|EMBL (CP000568);
450;WP_003514668.1 RNA-binding protein [Hungateiclostridium thermocellum];90;Uncharacterized protein;100.00% [90/90];;;Uniprot (A3DJJ5)|Interpro (A3DJJ5);KEGG (cth:Cthe_2926)|KEGG GM (cth:Cthe_2926);Interpro (IPR014722)|Interpro (IPR041985)|Interpro (IPR008991);NCBI (489610227)|EMBL (CP000568);
451;WP_003519574.1 copper amine oxidase N-terminal domain-containing protein [Hungateiclostridium thermocellum];270;Copper amine oxidase-like domain-containing protein;83.85% [270/322];;;Uniprot (A3DGG9)|Interpro (A3DGG9);KEGG (cth:Cthe_1827)|KEGG GM (cth:Cthe_1827);Interpro (IPR012854)|Interpro (IPR036582)|Pfam (PF07833);NCBI (490599112)|EMBL (CP000568);
452;WP_003516869.1 hypothetical protein [Hungateiclostridium thermocellum];289;Uncharacterized protein;98.63% [289/293];GO:0016021 - integral component of membrane;;Uniprot (A3DHD4)|Interpro (A3DHD4);KEGG (cth:Cthe_2161)|KEGG GM (cth:Cthe_2161);;NCBI (521293458)|EMBL (CP000568);
453;WP_003518356.1 sulfur carrier protein ThiS [Hungateiclostridium thermocellum];68;Thiamine biosynthesis protein ThiS;98.55% [68/69];;;Uniprot (A3DIG1)|Interpro (A3DIG1);KEGG (cth:Cthe_2538)|KEGG GM (cth:Cthe_2538);Interpro (IPR012675)|Interpro (IPR016155)|Interpro (IPR010035)|Interpro (IPR003749)|Pfam (PF02597);NCBI (489608650)|EMBL (CP000568);
454;ADU74413.1 hypothetical protein Clo1313_1350 [Hungateiclostridium thermocellum DSM 1313];Blast running;;;;;;;;;
455;WP_003520546.1 hypothetical protein [Hungateiclostridium thermocellum];334;Uncharacterized protein;100.00% [334/334];;;Uniprot (A3DF03)|Interpro (A3DF03);KEGG (cth:Cthe_1300)|KEGG GM (cth:Cthe_1300);;NCBI (489616106)|EMBL (CP000568);
456;WP_003519540.1 hypothetical protein [Hungateiclostridium thermocellum];157;Uncharacterized protein;99.37% [157/158];;;Uniprot (A3DGZ0)|Interpro (A3DGZ0);KEGG (cth:Cthe_2002)|KEGG GM (cth:Cthe_2002);;NCBI (489610772)|EMBL (CP000568);
457;WP_003512627.1 membrane protein [Hungateiclostridium thermocellum];188;Uncharacterized protein;100.00% [188/188];;;Uniprot (A3DCC0)|Interpro (A3DCC0);KEGG (cth:Cthe_0361)|KEGG GM (cth:Cthe_0361);Interpro (IPR007793)|Pfam (PF05103);NCBI (489608186)|EMBL (CP000568);
458;WP_003518873.1 hypothetical protein [Hungateiclostridium thermocellum];590;Uncharacterized protein;98.50% [590/599];GO:0016021 - integral component of membrane;;Uniprot (A3DER2)|Interpro (A3DER2);KEGG (cth:Cthe_1209)|KEGG GM (cth:Cthe_1209);;NCBI (490598578)|EMBL (CP000568);
459;ADU73230.1 hypothetical protein Clo1313_0134 [Hungateiclostridium thermocellum DSM 1313];Blast running;;;;;;;;;
460;WP_003515723.1 DUF3343 domain-containing protein [Hungateiclostridium thermocellum];87;DUF3343 domain-containing protein;100.00% [87/87];;;Uniprot (A3DEE0)|Interpro (A3DEE0);KEGG (cth:Cthe_1087)|KEGG GM (cth:Cthe_1087);Interpro (IPR021778)|Pfam (PF11823);NCBI (489611282)|EMBL (CP000568);
461;ADU74127.1 hypothetical protein Clo1313_1059 [Hungateiclostridium thermocellum DSM 1313];103;INTEIN_C_TER domain-containing protein;88.03% [103/117];GO:0016021 - integral component of membrane|GO:0016539 - intein-mediated protein splicing;;Uniprot (A3DH25)|Interpro (A3DH25);KEGG (cth:Cthe_2047)|KEGG GM (cth:Cthe_2047);Interpro (IPR003587)|Interpro (IPR036844)|Interpro (IPR030934)|Interpro (IPR006141)|Interpro (IPR032869)|Pfam (PF14414);NCBI (491668162)|EMBL (CP000568);
462;WP_003516741.1 hypothetical protein [Hungateiclostridium thermocellum];432;Uncharacterized protein;100.00% [432/432];;;Uniprot (A3DH69)|Interpro (A3DH69);KEGG (cth:Cthe_2091)|KEGG GM (cth:Cthe_2091);;NCBI (489612300)|EMBL (CP000568);
463;WP_003516676.1 hypothetical protein [Hungateiclostridium thermocellum];325;Uncharacterized protein;100.00% [325/325];GO:0016021 - integral component of membrane;;Uniprot (A3DD88)|Interpro (A3DD88);KEGG (cth:Cthe_0682)|KEGG GM (cth:Cthe_0682);;NCBI (489612235)|EMBL (CP000568);
464;ADU74696.1 hypothetical protein Clo1313_1635 [Hungateiclostridium thermocellum DSM 1313];26;Uncharacterized protein;61.90% [26/42];GO:0016021 - integral component of membrane;;Uniprot (A0A2K9E777)|Interpro (A0A2K9E777);KEGG (hsc:HVS_07245)|KEGG GM (hsc:HVS_07245);;NCBI (1315081915)|EMBL (CP025197);
465;WP_003515715.1 CotS family spore coat protein [Hungateiclostridium thermocellum];349;Spore coat protein CotS family;100.00% [349/349];;Spore Coat;Uniprot (A3DED6)|Interpro (A3DED6);KEGG (cth:Cthe_1083)|KEGG GM (cth:Cthe_1083);Interpro (IPR002575)|Interpro (IPR011009)|Interpro (IPR014255)|Pfam (PF01636);NCBI (489611274)|EMBL (CP000568);
466;WP_003520472.1 hypothetical protein [Hungateiclostridium thermocellum];673;Uncharacterized protein;99.85% [673/674];;;Uniprot (A3DJR1)|Interpro (A3DJR1);KEGG (cth:Cthe_2994)|KEGG GM (cth:Cthe_2994);;NCBI (125715698)|EMBL (CP000568);
467;WP_003516304.1 flagellar hook-length control protein FliK [Hungateiclostridium thermocellum];543;Flg_hook domain-containing protein;99.82% [543/544];;;Uniprot (A3DDG6)|Interpro (A3DDG6);KEGG (cth:Cthe_0760)|KEGG GM (cth:Cthe_0760);Interpro (IPR021136)|Pfam (PF02120);NCBI (500163225)|EMBL (CP000568);
468;WP_003516654.1 hypothetical protein [Hungateiclostridium thermocellum];159;Uncharacterized protein;100.00% [159/159];GO:0016021 - integral component of membrane;;Uniprot (A3DD77)|Interpro (A3DD77);KEGG (cth:Cthe_0671)|KEGG GM (cth:Cthe_0671);;NCBI (489612213)|EMBL (CP000568);
469;WP_003511789.1 photosystem reaction center subunit H [Hungateiclostridium thermocellum];184;PRC-barrel domain protein;100.00% [184/184];;;Uniprot (A3DKB3)|Interpro (A3DKB3);KEGG (cth:Cthe_3197)|KEGG GM (cth:Cthe_3197);Interpro (IPR027275)|Interpro (IPR011033)|Pfam (PF05239);NCBI (489607348)|EMBL (CP000568);
470;ADU74763.1 hypothetical protein Clo1313_1706 [Hungateiclostridium thermocellum DSM 1313];255;Uncharacterized protein;99.61% [255/256];GO:0016021 - integral component of membrane;;Uniprot (A3DCT8)|Interpro (A3DCT8);KEGG (cth:Cthe_0531)|KEGG GM (cth:Cthe_0531);;NCBI (500163193)|EMBL (CP000568);
471;WP_003516290.1 hypothetical protein [Hungateiclostridium thermocellum];190;Uncharacterized protein;99.48% [190/191];;;Uniprot (A3DDF9)|Interpro (A3DDF9);KEGG (cth:Cthe_0753)|KEGG GM (cth:Cthe_0753);;NCBI (500163224)|EMBL (CP000568);
472;WP_003515750.1 hypothetical protein [Hungateiclostridium thermocellum];828;Uncharacterized protein;97.53% [828/849];GO:0016021 - integral component of membrane;;Uniprot (A3DEF2)|Interpro (A3DEF2);KEGG (cth:Cthe_1099)|KEGG GM (cth:Cthe_1099);;NCBI (500163293)|EMBL (CP000568);
473;WP_003519514.1 hypothetical protein [Hungateiclostridium thermocellum];263;Uncharacterized protein;99.25% [263/265];;;Uniprot (A3DKD8)|Interpro (A3DKD8);KEGG (cth:Cthe_3222)|KEGG GM (cth:Cthe_3222);;NCBI (521293792)|EMBL (CP000568);
474;WP_003516089.1 hypothetical protein [Hungateiclostridium thermocellum];36;Uncharacterized protein;43.37% [36/83];GO:0003676 - nucleic acid binding|GO:0004518 - nuclease activity;;Uniprot (A0A285BCB5)|Interpro (A0A285BCB5);;Interpro (IPR011335)|Interpro (IPR011856);EMBL (LT906662);
475;WP_003516860.1 hypothetical protein [Hungateiclostridium thermocellum];25;Uncharacterized protein;25.77% [25/97];GO:0016021 - integral component of membrane;;Uniprot (A0A0D6Z8S3)|Interpro (A0A0D6Z8S3);;;NCBI (764497496)|EMBL (JXIQ01000087);
476;WP_003518763.1 Asp23/Gls24 family envelope stress response protein [Hungateiclostridium thermocellum];134;Uncharacterized protein;100.00% [134/134];;;Uniprot (A3DDP3)|Interpro (A3DDP3);KEGG (cth:Cthe_0837)|KEGG GM (cth:Cthe_0837);Interpro (IPR005531)|Pfam (PF03780);NCBI (489614322)|EMBL (CP000568);
477;WP_003514922.1 hypothetical protein [Hungateiclostridium thermocellum];73;Uncharacterized protein;100.00% [73/73];;;Uniprot (G2JCE4)|Interpro (G2JCE4);KEGG (cth:Cthe_3420)|KEGG GM (cth:Cthe_3420);;NCBI (489610481)|EMBL (CP000568);
478;WP_003518194.1 hypothetical protein [Hungateiclostridium thermocellum];55;Uncharacterized protein;37.16% [55/148];;;Uniprot (A0A2T6G8I6)|Interpro (A0A2T6G8I6);;;EMBL (PYHP01000009);
