ProteinID	ortholog	evalue	Score	Predicted_Gene_name	GO_terms	KEGG_KO	BiGG_Reactions	Matching_Ogs	Best_OG_value	COG_functional_categories	HMM_model_annotation
WP_003517090.1	203119.Cthe_1353	0	1053.1	WZX	"GO:0003674,GO:0003824,GO:0005215,GO:0005319,GO:0005575,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006869,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0010876,GO:0015221,GO:0015399,GO:0015405,GO:0015437,GO:0015920,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0022884,GO:0022891,GO:0022892,GO:0031224,GO:0033036,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044425,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071702,GO:0071704,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901264,GO:1901292,GO:1901360,GO:1901361,GO:1901505,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658"	K03328		"05ER6@bactNOG,0EQDY@cloNOG,0NDA2@firmNOG,COG2244@NOG"	05ER6|1.9347461678e-155|521.211730957	M	polysaccharide biosynthesis protein
WP_003517096.1	547042.BACCOPRO_00943	3.90E-61	198.8	AMSB		K16700		"05ADA@bacteNOG,05JEU@bactNOG,09ND6@bctoNOG,COG0463@NOG"	05JEU|1.45982452e-66|228.459701538	M	"Glycosyl transferase, family 2"
WP_003517098.1	203119.Cthe_1356	6.80E-213	698.7					"06A3A@bactNOG,0ERTT@cloNOG,0NG7H@firmNOG,0Y8FN@NOG"	06A3A|1.67680818199e-128|432.501190186	S	glycosyltransferase
WP_003517100.1	203119.Cthe_1357	4.40E-241	794.5		"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0016020,GO:0044424,GO:0044464,GO:0071944"			"05CG5@bactNOG,0ESK2@cloNOG,0NPGG@firmNOG,COG0438@NOG"	05CG5|4.47688342563e-103|349.221588135	M	Glycosyl transferase (Group 1
WP_003517102.1	203119.Cthe_1358	3.80E-210	689.2					"06A3A@bactNOG,0ERTT@cloNOG,0NG7H@firmNOG,0Y8FN@NOG"	06A3A|1.15879487424e-126|426.404876709	S	glycosyltransferase
WP_003517105.1	203119.Cthe_1359	1.50E-112	364.7	PSSE				"05KNX@bactNOG,0EXDG@cloNOG,0NP70@firmNOG,COG5017@NOG"	05KNX|1.16170457054e-50|175.49647522	S	glycosyltransferase
WP_003517107.1	203119.Cthe_1360	1.00E-113	368.2	CPSF				"090P6@bactNOG,0EVJZ@cloNOG,0NN8Y@firmNOG,COG0707@NOG"	090P6|7.76521964996e-48|166.13343811	M	oligosaccharide biosynthesis protein Alg14 like protein
WP_003517108.1	545696.HOLDEFILI_01736	6.70E-156	506	UGE		"K01784,K08679"	GLA	"08IAJ@bactNOG,0I9MN@eryNOG,0P668@firmNOG,COG0451@NOG"	0I9MN|6.50683441556e-164|548.207946777	"G, M"	Male sterility protein
WP_003517110.1	203119.Cthe_1362	8.80E-123	398.4	AMET_0414		K02601		"05P9E@bactNOG,0ET7M@cloNOG,0NNZV@firmNOG,11YJ7@NOG"	05P9E|7.26471205841e-59|201.478103638	K	NusG antitermination factor
WP_003517112.1	203119.Cthe_1363	5.70E-301	993.3	YWQD				"05D75@bactNOG,0ESFX@cloNOG,0NI4X@firmNOG,COG0489@NOG,COG3944@NOG"	05D75|5.94511040943e-137|453.848449707	M	Capsular exopolysaccharide family
WP_003517114.1	203119.Cthe_1364	1.10E-265	869.1					"06AH6@bactNOG,0EXIY@cloNOG,0NRHU@firmNOG,0Y2KR@NOG"	06AH6|2.06180817954e-151|506.886688232	S	NA
WP_003517116.1	203119.Cthe_1365	9.60E-129	414					"06W7H@bactNOG,0F0NC@cloNOG,0NWIU@firmNOG,0YQX2@NOG"	06W7H|6.43430133707e-90|303.746154785	S	NA
WP_003517126.1	203119.Cthe_1367	2.60E-171	561.6			K01104		"08RB3@bactNOG,0ET48@cloNOG,0NJGV@firmNOG,COG4464@NOG"	08RB3|5.46811801674e-81|274.977874756	"G, M"	Capsular polysaccharide biosynthesis protein
WP_003517137.1	203119.Cthe_0846	1.30E-87	283					"05WS8@bactNOG,0EVR6@cloNOG,0NNUG@firmNOG,12378@NOG"	05WS8|4.02956320292e-41|143.256210327	S	NA
WP_003517139.1	203119.Cthe_0847	1.90E-124	408.9	EFP	"GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006412,GO:0006414,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0034645,GO:0040007,GO:0043021,GO:0043022,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901576"	K02356		"05DRH@bactNOG,0EPZQ@cloNOG,0NECN@firmNOG,COG0231@NOG"	05DRH|6.49809515148e-82|276.635070801	J	"Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase (By similarity)"
WP_003517142.1	203119.Cthe_0848	6.40E-237	781.1	PEPQ	"GO:0003674,GO:0003824,GO:0006508,GO:0008150,GO:0008152,GO:0008233,GO:0016787,GO:0019538,GO:0043170,GO:0044238,GO:0071704"	"K01262,K01271"		"05DC7@bactNOG,0EQ2A@cloNOG,0NEMI@firmNOG,COG0006@NOG"	05DC7|6.43177200608e-128|430.085418701	E	peptidase M24
WP_003517144.1	203119.Cthe_0849	1.50E-91	299.2	AROQ		K03786	DHQTi	"08Z38@bactNOG,0ET5V@cloNOG,0NJCZ@firmNOG,COG0757@NOG"	08Z38|1.57152421047e-71|244.673843384	E	Catalyzes a trans-dehydration via an enolate intermediate (By similarity)
WP_003517145.1	509191.AcelC_020100024446	3.90E-141	461.3	NFO		K01151		"05E9C@bactNOG,0EPQU@cloNOG,0P2MM@firmNOG,COG0648@NOG"	05E9C|1.52561123567e-121|407.879241943	L	Xylose isomerase domain-containing protein
WP_003517147.1	203119.Cthe_0851	1.20E-57	182.8			K02241		"05WZJ@bactNOG,0EVAG@cloNOG,0NNU8@firmNOG,12448@NOG"	05WZJ|1.04334693834e-37|130.829910278	S	Late competence development protein ComFB
WP_003517149.1	203119.Cthe_0852	1.10E-186	615	PILD	"GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006479,GO:0006480,GO:0006810,GO:0008104,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008213,GO:0008233,GO:0009297,GO:0009306,GO:0009405,GO:0009987,GO:0015031,GO:0016020,GO:0016043,GO:0016740,GO:0016741,GO:0016787,GO:0019538,GO:0022607,GO:0030030,GO:0030031,GO:0031365,GO:0032259,GO:0032940,GO:0033036,GO:0036211,GO:0043170,GO:0043412,GO:0043414,GO:0043711,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0051704,GO:0071702,GO:0071704,GO:0071840,GO:0071944"	"K02236,K02464,K02506,K02654"		"05EHH@bactNOG,0ET9U@cloNOG,0NIGE@firmNOG,COG1989@NOG"	05EHH|1.22414860349e-79|270.304290771	"N, O, U"	Cleaves type-4 fimbrial leader sequence and methylates the N-terminal (generally Phe) residue (By similarity)
WP_003517151.1	203119.Cthe_0853	0	1214.7	PILB		"K02243,K02454,K02505,K02652"		"07QHF@bactNOG,0EPFV@cloNOG,0NDWJ@firmNOG,COG2804@NOG"	0EPFV|7.60642669179e-197|659.40814209	U	type ii secretion system protein e
WP_003517153.1	203119.Cthe_0854	4.40E-195	642.3	AROE		"K00014,K13832"	SHK3Dr	"05E2X@bactNOG,0ESIZ@cloNOG,0NDG1@firmNOG,COG0169@NOG"	05E2X|6.07005182718e-110|371.822052002	E	shikimate dehydrogenase
WP_003517159.1	203119.Cthe_0855	3.10E-109	356.2	YQEG		K07015		"08WJV@bactNOG,0ETJW@cloNOG,0NIBD@firmNOG,COG2179@NOG"	08WJV|9.95398107772e-61|208.345336914	V	had superfamily (subfamily IIIa) phosphatase
WP_003517161.1	469616.FMAG_01525	3.60E-144	469.5	ILVE		K00826		"07SZF@bactNOG,COG0115@NOG"	07SZF|5.72870453397e-149|499.029296875	E	amino acid aminotransferase
WP_003517163.1	203119.Cthe_0857	6.30E-100	324.6	NFED		K07403		"05YT5@bactNOG,0EQMP@cloNOG,0NERW@firmNOG,COG1030@NOG"	05YT5|1.35532526615e-53|185.324920654	O	nodulation efficiency protein D
WP_003517165.1	203119.Cthe_0858	8.70E-205	672.2	YQFA	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"			"05DI5@bactNOG,0EPPF@cloNOG,0ND80@firmNOG,COG4864@NOG"	05DI5|2.14006200994e-167|558.975708008	S	UPF0365 protein
WP_003517177.1	203119.Cthe_0861	2.30E-260	850.5					"07GEV@bactNOG,0F5J6@cloNOG,0P151@firmNOG,COG1316@NOG"	07GEV|7.49130176561e-202|673.117431641	K	Cell envelope-related transcriptional attenuator domain
WP_003517179.1	203119.Cthe_0862	1.60E-72	230.7					"069F2@bactNOG,0EXF6@cloNOG,0NRY6@firmNOG,0XW5T@NOG"	069F2|1.02273452293e-35|124.815628052	S	NA
WP_003517181.1	340099.Teth39_1666	0	1231	GLNA		K01915		"08HMU@bactNOG,0F6W3@cloNOG,0P5YC@firmNOG,COG3968@NOG"	08HMU|0.0|1257.90783691	E	glutamine synthetase
WP_003517183.1	203119.Cthe_0864	6.30E-119	388.5	PORG		K00177	"IOR2b,IOR3b,IORb,POR3b,VOR1b,VOR2b,VOR3b"	"08ZHB@bactNOG,0ETMP@cloNOG,0NIE3@firmNOG,COG1014@NOG"	08ZHB|7.63738568398e-70|238.732788086	C	oxidoreductase
WP_003517185.1	592015.HMPREF1705_00964	5.70E-117	378.1	VORB		"K00175,K00187"	"IOR2b,IOR3b,IORb,POR3b,VOR1b,VOR2b,VOR3b"	"05DQU@bactNOG,1C7V9@synNOG,COG1013@NOG"	1C7V9|5.02034148939e-125|418.422424316	C	Thiamine pyrophosphate protein domain protein TPP-binding
WP_003517187.1	443254.Marpi_0156	4.90E-142	462.4	VORB		"K00174,K00186"	"IOR2b,IOR3b,IORb,POR3b,VOR1b,VOR2b,VOR3b"	"05DI2@bactNOG,1CFFE@therNOG,COG0674@NOG"	1CFFE|6.69406777431e-160|534.522888184	C	Pyruvate flavodoxin ferredoxin oxidoreductase domain protein
WP_003517189.1	203119.Cthe_0867	2.80E-47	151.1	VORD	"GO:0003674,GO:0003824,GO:0006091,GO:0006113,GO:0008150,GO:0008152,GO:0009987,GO:0015980,GO:0016491,GO:0016730,GO:0044237,GO:0044710,GO:0055114"	K00176	"IOR2b,IOR3b,IORb,POR3b,VOR1b,VOR2b,VOR3b"	"05WAN@bactNOG,0EVKQ@cloNOG,0NP5G@firmNOG,COG1146@NOG"	05WAN|4.31814894046e-26|93.2720108032	C	"4Fe-4S Ferredoxin, iron-sulfur binding domain protein"
WP_003517192.1	203119.Cthe_0868	1.10E-162	526.7					"06M43@bactNOG,0EYBA@cloNOG,0NT4A@firmNOG,0YC50@NOG"	06M43|6.95887507689e-145|483.645629883	S	PilZ domain
WP_003517194.1	203119.Cthe_0869	1.60E-147	481.1					"05FNI@bactNOG,0ETHP@cloNOG,0NJD8@firmNOG,11QV4@NOG"	05FNI|5.17581124877e-82|277.558197021	S	atp gtp-binding protein
WP_003517198.1	203119.Cthe_0870	7.70E-134	433.4					"07XQS@bactNOG,0F4MU@cloNOG,0P2YJ@firmNOG,COG0655@NOG"	07XQS|1.44555445726e-100|337.723205566	S	Nadph-dependent fmn reductase
WP_003517200.1	203119.Cthe_0871	2.40E-144	473.8	TRPF		"K01817,K06173"	PRAIi	"08ZGB@bactNOG,0ET76@cloNOG,0NJ9K@firmNOG,COG0135@NOG"	08ZGB|2.28727199054e-77|262.729797363	E	N-(5'-phosphoribosyl)anthranilate isomerase
WP_003517204.1	203119.Cthe_0873	1.40E-227	749.4	TRPD	"GO:0005575,GO:0005576,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0040007,GO:0044464,GO:0071944"	K00766	ANPRT	"08I0Q@bactNOG,0F6YP@cloNOG,0P62P@firmNOG,COG0547@NOG"	08I0Q|1.890508438e-146|490.859466553	E	anthranilate phosphoribosyltransferase
WP_003517206.1	203119.Cthe_0874	5.40E-133	437.1	TRPG		"K00766,K01658,K01664,K01951,K13497"	"ANPRT,ANS,ANS2"	"05DDQ@bactNOG,0ERSD@cloNOG,0NHCX@firmNOG,COG0512@NOG"	05DDQ|3.40639815278e-109|369.401092529	E	anthranilate synthase
WP_003517208.1	203119.Cthe_0875	0	1121.8	TRPE		"K01657,K13503"	"ANS,ANS2"	"05CRQ@bactNOG,0EPY9@cloNOG,0NDYI@firmNOG,COG0147@NOG"	0NDYI|1.83676023721e-227|760.724365234	E	synthase component I
WP_003517211.1	203119.Cthe_0876	1.10E-289	951.8					"05RFY@bactNOG,0ERAB@cloNOG,0NF85@firmNOG,11XIR@NOG"	05RFY|3.633012416e-125|421.183654785	S	Membrane
WP_003517212.1	203119.Cthe_0877	7.20E-240	791.2	YCHF	"GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0005488,GO:0005525,GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019001,GO:0019439,GO:0019637,GO:0019693,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0034641,GO:0034655,GO:0035639,GO:0036094,GO:0042278,GO:0042454,GO:0043021,GO:0043022,GO:0043023,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044464,GO:0044710,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072523,GO:0097159,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658"	K06942		"05C3G@bactNOG,0ENTB@cloNOG,0ND9U@firmNOG,COG0012@NOG"	05C3G|4.03701968055e-175|586.871704102	J	gtp-binding protein
WP_003517213.1	203119.Cthe_0878	1.30E-121	397.7			K03408		"08RD3@bactNOG,0ETE3@cloNOG,0NIAG@firmNOG,COG0835@NOG"	08RD3|3.26702184835e-50|174.147644043	"N, T"	chew protein
WP_003517214.1	203119.Cthe_0880	7.50E-223	733.6			K03856		"08JPM@bactNOG,0F7DC@cloNOG,0P6P4@firmNOG,COG2876@NOG"	08JPM|1.32790100095e-155|520.614257812	E	phospho-2-dehydro-3-deoxyheptonate aldolase
WP_003517215.1	203119.Cthe_0881	9.10E-255	836.6					"05BZU@bactNOG,0ERKY@cloNOG,0NKWV@firmNOG,0XNMH@NOG"	0ERKY|1.81976792534e-69|237.955352783	T	Diguanylate cyclase
WP_003517216.1	203119.Cthe_0882	1.30E-182	597.4		"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"			"08TVT@bactNOG,0EPZD@cloNOG,0NG0R@firmNOG,COG0697@NOG"	08TVT|2.0715768233e-87|296.145080566	"E, G"	permease
WP_003517217.1	720554.Clocl_2642	3.30E-55	174.5					"05RU3@bactNOG,0EV82@cloNOG,0NNA3@firmNOG,1208D@NOG"	05RU3|4.06027590221e-37|130.30317688	S	NA
WP_003517218.1	329726.AM1_4128	1.40E-30	99.2	SLT		K08309		"07S0C@bactNOG,0FKNS@cyaNOG,COG0741@NOG"	07S0C|2.09702607532e-50|175.675979614	M	lytic transglycosylase
WP_003517221.1	203119.Cthe_0886	0	1969.2	POLA	"GO:0003674,GO:0003824,GO:0003887,GO:0008150,GO:0008152,GO:0016740,GO:0016772,GO:0016779,GO:0034061"	K02335		"05C2M@bactNOG,0EPF0@cloNOG,0NDWK@firmNOG,COG0258@NOG,COG0749@NOG"	05C2M|0.0|1151.41711426	L	dna polymerase I
WP_003517223.1	203119.Cthe_0888	1.10E-155	502.7					"06JHT@bactNOG,0EZ6I@cloNOG,0NTW2@firmNOG,0Y9VU@NOG"	06JHT|6.55555567243e-144|480.288635254	S	PilZ domain
WP_003517230.1	203119.Cthe_0889	6.80E-214	697.2					"07EMJ@bactNOG,0EWX8@cloNOG,0NQXJ@firmNOG,0ZYAA@NOG"	07EMJ|1.19617149654e-91|310.916137695	S	NA
WP_003517233.1	203119.Cthe_0891	1.80E-93	298					"069F8@bactNOG,0EZSS@cloNOG,0NUYQ@firmNOG,COG0784@NOG"	069F8|7.51271037863e-72|242.77746582	T	response regulator
WP_003517235.1	743722.Sph21_1376	3.30E-89	291					"08H4Y@bactNOG,09SPG@bctoNOG,1AM7M@sphNOG,COG0327@NOG,COG3323@NOG"	08H4Y|6.04381382841e-120|403.602081299	S	"NGG1p interacting factor 3 protein, NIF3"
WP_003517237.1	203119.Cthe_0893	1.10E-157	516.9	TRMK	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K06967		"08V39@bactNOG,0ESP3@cloNOG,0NI7R@firmNOG,COG2384@NOG"	08V39|2.07056820592e-72|246.532226562	S	SAM-dependent methyltransferase
WP_003517241.1	203119.Cthe_0894	2.70E-47	145.9					"070IA@bactNOG,0F1AC@cloNOG,0NXPR@firmNOG,0YXBA@NOG"	070IA|8.92979655528e-45|153.395309448	S	Rubrerythrin
WP_003517243.1	203119.Cthe_0895	9.50E-232	761.5	RPOD	"GO:0000988,GO:0000990,GO:0000996,GO:0001666,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005515,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006355,GO:0006950,GO:0008150,GO:0009266,GO:0009405,GO:0009408,GO:0009410,GO:0009415,GO:0009607,GO:0009628,GO:0009889,GO:0009891,GO:0009893,GO:0010035,GO:0010468,GO:0010556,GO:0010557,GO:0010565,GO:0010604,GO:0010628,GO:0016020,GO:0016987,GO:0019216,GO:0019217,GO:0019219,GO:0019222,GO:0019899,GO:0030312,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032879,GO:0032880,GO:0036293,GO:0040007,GO:0042221,GO:0043175,GO:0044403,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0045893,GO:0045935,GO:0048518,GO:0048522,GO:0050708,GO:0050789,GO:0050794,GO:0050896,GO:0051046,GO:0051049,GO:0051171,GO:0051173,GO:0051223,GO:0051252,GO:0051254,GO:0051701,GO:0051704,GO:0051707,GO:0052173,GO:0052200,GO:0052564,GO:0052572,GO:0060255,GO:0060341,GO:0065007,GO:0070063,GO:0070201,GO:0070482,GO:0071944,GO:0075136,GO:0080090,GO:0097159,GO:1901363,GO:1901700,GO:2000112,GO:2001141"	"K03086,K03087"		"05DG1@bactNOG,0ENZ0@cloNOG,0NDNZ@firmNOG,COG0568@NOG"	0ENZ0|1.95118064157e-203|679.587219238	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
WP_003517249.1	203119.Cthe_0897	2.20E-224	739.7	DGT		K01129		"05C4Q@bactNOG,0ENUU@cloNOG,0NDB4@firmNOG,COG0232@NOG"	05C4Q|1.18490861517e-112|379.613586426	F	deoxyguanosinetriphosphate triphosphohydrolase-like protein
WP_003517251.1	203119.Cthe_0898	1.10E-228	753.4					"05CPI@bactNOG,0EQ1N@cloNOG,0NEGE@firmNOG,COG2206@NOG"	05CPI|3.08476675309e-99|335.672729492	T	Metal Dependent Phosphohydrolase
WP_003517254.1	203119.Cthe_0899	2.10E-57	178.8					"0725V@bactNOG,0F1NR@cloNOG,0NXSS@firmNOG,0YZPW@NOG"	0725V|7.29002503481e-42|144.826049805	S	NA
WP_003517255.1	203119.Cthe_0900	2.20E-82	268.4	PAND	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K01579	ASP1DC	"08Z2X@bactNOG,0ETHN@cloNOG,0NJK5@firmNOG,COG0853@NOG"	08Z2X|5.90689689941e-71|241.277603149	H	Catalyzes the pyruvoyl-dependent decarboxylation of aspartate to produce beta-alanine (By similarity)
WP_003517257.1	203119.Cthe_0901	4.70E-185	608.2	PANC	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K01918	PANTS	"08IAA@bactNOG,0F70T@cloNOG,0P664@firmNOG,COG0414@NOG"	08IAA|2.05520430777e-129|434.436065674	H	Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate (By similarity)
WP_003517259.1	203119.Cthe_0902	2.10E-190	627	PANB	"GO:0000287,GO:0003674,GO:0003824,GO:0003864,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006082,GO:0006461,GO:0006520,GO:0006573,GO:0006575,GO:0006732,GO:0006766,GO:0006767,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009081,GO:0009108,GO:0009110,GO:0009987,GO:0015939,GO:0015940,GO:0016020,GO:0016043,GO:0016053,GO:0016740,GO:0016741,GO:0016742,GO:0019752,GO:0022607,GO:0033317,GO:0034641,GO:0040007,GO:0042364,GO:0042398,GO:0043167,GO:0043169,GO:0043436,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0044711,GO:0046394,GO:0046872,GO:0051186,GO:0051188,GO:0051259,GO:0051260,GO:0065003,GO:0070271,GO:0071704,GO:0071822,GO:0071840,GO:0071944,GO:1901564,GO:1901566,GO:1901576,GO:1901605"	K00606	MOHMT	"05CCG@bactNOG,0EPHE@cloNOG,0NDT6@firmNOG,COG0413@NOG"	05CCG|1.64428855346e-119|401.197814941	H	"Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is tranferred onto alpha-ketoisovalerate to form ketopantoate (By similarity)"
WP_003517262.1	203119.Cthe_0903	2.40E-203	666.7	SECF	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K03074		"07SBW@bactNOG,0EQM2@cloNOG,0NF0N@firmNOG,COG0341@NOG"	07SBW|3.68501662639e-103|347.741577148	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)
WP_003517264.1	203119.Cthe_0904	4.80E-286	942.9	SECD	"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006886,GO:0008104,GO:0008150,GO:0008565,GO:0009306,GO:0009987,GO:0015031,GO:0016020,GO:0022892,GO:0032940,GO:0033036,GO:0034613,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0045184,GO:0046903,GO:0046907,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0070727,GO:0071702,GO:0071944"	"K03072,K12257"		"05C3D@bactNOG,0EP47@cloNOG,0NDII@firmNOG,COG0342@NOG"	05C3D|3.09892026883e-125|421.911132812	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)
WP_003517266.1	203119.Cthe_0905	6.40E-146	475.1			K09163		"08NQI@bactNOG,0ERW4@cloNOG,0NF9J@firmNOG,0XRMQ@NOG"	08NQI|1.96530366431e-106|357.324157715	S	Metal dependent phosphohydrolase
WP_003517268.1	536233.CLO_0627	1.10E-164	535.3			K06871		"08FS3@bactNOG,0F6IK@cloNOG,0P5P9@firmNOG,COG0641@NOG"	08FS3|2.35610395653e-189|632.646789551	S	Radical SAM superfamily
WP_003517270.1	203119.Cthe_0908	4.00E-205	676.3	RLUD	"GO:0000027,GO:0000154,GO:0000455,GO:0001522,GO:0003674,GO:0003824,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016072,GO:0016853,GO:0016866,GO:0022607,GO:0022613,GO:0022618,GO:0031118,GO:0034470,GO:0034622,GO:0034641,GO:0034660,GO:0042254,GO:0042255,GO:0042273,GO:0043170,GO:0043412,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044699,GO:0044763,GO:0046483,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0090304,GO:1901360"	K06180	PSUDS	"05C34@bactNOG,0EPCX@cloNOG,0NDX5@firmNOG,COG0564@NOG"	05C34|9.44094890502e-149|500.394378662	J	Pseudouridine synthase
WP_003517272.1	203119.Cthe_0909	2.60E-98	322.1	LSPA	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K03101		"05M02@bactNOG,0EVF1@cloNOG,0NKWF@firmNOG,COG0597@NOG"	05M02|1.09359948596e-48|169.353347778	"M, U"	This protein specifically catalyzes the removal of signal peptides from prolipoproteins (By similarity)
WP_003517274.1	203119.Cthe_0910	0	1261.4	APPA		K02035		"05DEF@bactNOG,0EQDN@cloNOG,0NDJ4@firmNOG,COG0747@NOG"	0EQDN|3.56746130153e-155|520.30065918	E	"Extracellular solute-binding protein, family 5"
WP_003517276.1	203119.Cthe_0911	3.20E-194	639.5	YFIH	"GO:0005575,GO:0005618,GO:0005623,GO:0030312,GO:0044464,GO:0071944"	K05810		"05DBW@bactNOG,0EPJP@cloNOG,0NE0N@firmNOG,COG1496@NOG"	05DBW|2.95629071772e-84|285.59161377	S	Multi-copper polyphenol oxidoreductase laccase
WP_003517278.1	203119.Cthe_0912	0	2512.9					"0813F@bactNOG,0EUDQ@cloNOG,0NF4Y@firmNOG,11VYW@NOG"	0813F|2.058135184e-186|607.695068359	S	Putative esterase
