ProeinID	KO_terms	KEGG_Term	Score	Second best	
WP_003514647.1	K02931	RP-L5; large subunit ribosomal protein L5	145		
WP_003514649.1	K02954	RP-S14; small subunit ribosomal protein S14	57		
WP_003514651.1	K02994	RP-S8; small subunit ribosomal protein S8	112		
WP_003514653.1	K02933	RP-L6; large subunit ribosomal protein L6	123		
WP_003514654.1	K02881	RP-L18; large subunit ribosomal protein L18	106		
WP_003514656.1	K02988	RP-S5; small subunit ribosomal protein S5	134		
WP_003514658.1	K02907	RP-L30; large subunit ribosomal protein L30	45		
WP_003514660.1	K02876	RP-L15; large subunit ribosomal protein L15	104		
WP_003514662.1	K03076	secY; preprotein translocase subunit SecY	351		
WP_003514667.1	K01265	map; methionyl aminopeptidase [EC:3.4.11.18]	218		
WP_003514668.1			34		
WP_003514670.1	K02518	infA; translation initiation factor IF-1	67		
WP_003514672.1	K02919	RP-L36; large subunit ribosomal protein L36	47		
WP_003514673.1	K02952	RP-S13; small subunit ribosomal protein S13	101		
WP_003514675.1	K02948	RP-S11; small subunit ribosomal protein S11	96		
WP_003514677.1	K02986	RP-S4; small subunit ribosomal protein S4	158		
WP_003514679.1	K03040	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]	241		
WP_003514681.1	K02879	RP-L17; large subunit ribosomal protein L17	112		
WP_003514690.1	K00845	glk; glucokinase [EC:2.7.1.2]	179		
WP_003514691.1	K06173	truA; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	157		
WP_003514693.1	K07736	carD; CarD family transcriptional regulator	129		
WP_003514694.1	K00991	ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]	123		
WP_003514696.1	K09697	natA; sodium transport system ATP-binding protein [EC:3.6.3.7]	149		
WP_003514698.1	K09696	natB; sodium transport system permease protein	133		
WP_003514700.1			30	K02482	3
WP_003514703.1			30	K02482	4
WP_003514705.1	K01770	"ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]"	132		
WP_003514709.1			67		
WP_003514722.1			31	K00847	1
WP_003514726.1			28	K06252	
WP_003514728.1	K15580	oppA; oligopeptide transport system substrate-binding protein	347		
WP_003514730.1	K10823	oppF; oligopeptide transport system ATP-binding protein	212		
WP_003514737.1	K15581	oppB; oligopeptide transport system permease protein	179	K16200	22
WP_003514745.1	K01990	ABC-2.A; ABC-2 type transport system ATP-binding protein	164		
WP_003514747.1			54		
WP_003514757.1	K03093	sigI; RNA polymerase sigma factor	77		
WP_003514760.1	K01420	"fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein"	105		
WP_003514773.1			7	K00176	1
WP_003514774.1			141		
WP_003514775.1			31	K00833	1
WP_003514776.1					
WP_003514788.1	K01060	cah; cephalosporin-C deacetylase [EC:3.1.1.41]	154		
WP_003514791.1			2	K03282	1
WP_003514792.1	K07559	kptA; putative RNA 2'-phosphotransferase [EC:2.7.1.-]	110		
WP_003514793.1			36	K00902	1
WP_003514796.1			14	K00791	1
WP_003514797.1			31	K00901	1
WP_003514804.1			109	K12600	12
WP_003514806.1	K03630	radC; DNA repair protein RadC	122		
WP_003514814.1	K05364	pbpA; penicillin-binding protein A	226		
WP_003514815.1			257		
WP_003514820.1			32		
WP_003514827.1			207		
WP_003514829.1			11	K03594	5
WP_003514830.1	K03466	"ftsK; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family"	243		
WP_003514832.1			15	K03806	1
WP_003514835.1			63		
WP_003514839.1	K00058	serA; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	244		
WP_003514842.1			8		
WP_003514843.1			8	K08884	1
WP_003514846.1	K03406	mcp; methyl-accepting chemotaxis protein	64		
WP_003514847.1	K03408	cheW; purine-binding chemotaxis protein CheW	113		
WP_003514851.1	K01647	CS; citrate synthase [EC:2.3.3.1]	348		
WP_003514852.1	K03624	greA; transcription elongation factor GreA	20	K04760	1
WP_003514855.1	K14086	echA; ech hydrogenase subunit A	364		
WP_003514857.1			152	K14087	60
WP_003514859.1			42	K14088	34
WP_003514861.1	K14089	echD; ech hydrogenase subunit D	14		
WP_003514863.1	K14090	echE; ech hydrogenase subunit E	309		
WP_003514865.1			9	K14091	6
WP_003514867.1	K04651	hypA; hydrogenase nickel incorporation protein HypA/HybF	40		
WP_003514874.1	K04653	hypC; hydrogenase expression/formation protein HypC	36		
WP_003514876.1	K04654	hypD; hydrogenase expression/formation protein HypD	233		
WP_003514880.1	K04655	hypE; hydrogenase expression/formation protein HypE	184		
WP_003514882.1	K15924	"xynC; glucuronoarabinoxylan endo-1,4-beta-xylanase [EC:3.2.1.136]"	190		
WP_003514884.1			21	K00858	1
WP_003514887.1			24	K01890	1
WP_003514888.1			8	K02719	1
WP_003514890.1	K04564	"SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]"	174		
WP_003514893.1			20	K03791	1
WP_003514898.1			103		
WP_003514902.1			37	K02337	1
WP_003514904.1	K07220	uncharacterized protein	112		
WP_003514906.1	K03306	"TC.PIT; inorganic phosphate transporter, PiT family"	299		
WP_003514908.1			28		
WP_003514910.1					
WP_003514912.1			43	K03584	1
WP_003514914.1	K05520	pfpI; protease I [EC:3.5.1.124]	138		
WP_003514917.1			37	K14073	1
WP_003514918.1	K03088	"rpoE; RNA polymerase sigma-70 factor, ECF subfamily"	27		
WP_003514920.1	K07304	msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	59	K12267	28
WP_003514922.1			17	K01153	
WP_003514923.1			29	K00702	16
WP_003514927.1			3	K11748	1
WP_003514981.1			15	K03386	1
WP_003514987.1			24	K14748	1
WP_003515018.1	K02935	RP-L7; large subunit ribosomal protein L7/L12	66		
WP_003515019.1	K02864	RP-L10; large subunit ribosomal protein L10	86		
WP_003515020.1	K02863	RP-L1; large subunit ribosomal protein L1	257		
WP_003515021.1	K02867	RP-L11; large subunit ribosomal protein L11	121		
WP_003515022.1	K02601	nusG; transcriptional antiterminator NusG	127		
WP_003515023.1	K03073	secE; preprotein translocase subunit SecE	21		
WP_003515024.1	K02913	RP-L33; large subunit ribosomal protein L33	41		
WP_003515025.1	K01652	E2.2.1.6L; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	380		
WP_003515026.1	K01687	ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]	592		
WP_003515027.1			26	K03558	1
WP_003515029.1			52		
WP_003515031.1			147		
WP_003515045.1			23		
WP_003515046.1			28	K06048	1
WP_003515048.1			10	K11839	1
WP_003515066.1	K07800	agrD; AgrD protein	10		
WP_003515068.1	K07010	putative glutamine amidotransferase	110		
WP_003515069.1					
WP_003515071.1			40		
WP_003515075.1			221		
WP_003515076.1	K07098	uncharacterized protein	77		
WP_003515088.1			21	K00760	1
WP_003515176.1			15	K00721	1
WP_003515182.1			13	K02004	1
WP_003515210.1			31	K03605	2
WP_003515275.1	K04566	"lysK; lysyl-tRNA synthetase, class I [EC:6.1.1.6]"	216		
WP_003515277.1			164		
WP_003515279.1			167		
WP_003515281.1			191	K01179	10
WP_003515283.1	K03324	yjbB; phosphate:Na+ symporter	322		
WP_003515284.1			220		
WP_003515286.1			8	K06158	1
WP_003515288.1	K00198	cooS; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	388		
WP_003515290.1	K14155	patB; cystathione beta-lyase [EC:4.4.1.8]	222		
WP_003515293.1	K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	204		
WP_003515294.1	K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	247		
WP_003515296.1	K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	20	K00188	2
WP_003515298.1	K00172	porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	86		
WP_003515302.1	K02051	ABC.SN.S; NitT/TauT family transport system substrate-binding protein	74		
WP_003515304.1			262		
WP_003515306.1	K14080	mtaA; [methyl-Co(III) methanol-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.246]	194		
WP_003515309.1	K01599	hemE; uroporphyrinogen decarboxylase [EC:4.1.1.37]	208		
WP_003515310.1			179		
WP_003515312.1			17		
WP_003515313.1			10	K03806	1
WP_003515316.1			16	K02047	2
WP_003515317.1			55	K00784	1
WP_003515318.1					
WP_003515320.1			3	K08816	1
WP_003515322.1	K06211	"nadR; HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22]"	144		
WP_003515324.1	K03811	pnuC; nicotinamide mononucleotide transporter	142		
WP_003515328.1			51	K14355	1
WP_003515330.1			49	K12264	30
WP_003515331.1	K07322	ytfE; regulator of cell morphogenesis and NO signaling	129		
WP_003515333.1			290		
WP_003515335.1			45		
WP_003515337.1			24	K22221	1
WP_003515342.1			316	K01179	23
WP_003515347.1	K11105	cvrA; cell volume regulation protein A	342		
WP_003515355.1	K08483	"PTS-EI.PTSI; phosphotransferase system, enzyme I, PtsI [EC:2.7.3.9]"	177		
WP_003515357.1			61		
WP_003515361.1	K02355	fusA; elongation factor G	560		
WP_003515363.1	K03046	rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	942		
WP_003515365.1	K03043	rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	916		
WP_003515370.1			58		
WP_003515373.1			137		
WP_003515376.1	K01992	ABC-2.P; ABC-2 type transport system permease protein	76		
WP_003515378.1	K01990	ABC-2.A; ABC-2 type transport system ATP-binding protein	172		
WP_003515381.1			241		
WP_003515387.1			24	K13924	1
WP_003515390.1			155		
WP_003515405.1	K02662	pilM; type IV pilus assembly protein PilM	60		
WP_003515408.1	K09973	uncharacterized protein	109		
WP_003515409.1			25	K03789	1
WP_003515411.1			10	K00700	1
WP_003515413.1			3	K00666	1
WP_003515416.1			5	K02935	1
WP_003515423.1			1	K02876	1
WP_003515424.1			50	K02029	1
WP_003515425.1			17	K01665	1
WP_003515426.1			7	K01759	1
WP_003515434.1	K02499	yabN; tetrapyrrole methylase family protein / MazG family protein	136		
WP_003515437.1			322		
WP_003515439.1			78		
WP_003515440.1			11	K00275	5
WP_003515441.1			13	K07506	9
WP_003515442.1					
WP_003515443.1	K03723	mfd; transcription-repair coupling factor (superfamily II helicase) [EC:3.6.4.-]	628		
WP_003515445.1	K00948	PRPS; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	230		
WP_003515449.1	K03569	mreB; rod shape-determining protein MreB and related proteins	251		
WP_003515452.1	K06381	spoIID; stage II sporulation protein D	205		
WP_003515456.1	K02112	ATPF1B; F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]	366		
WP_003515457.1	K02115	ATPF1G; F-type H+-transporting ATPase subunit gamma	137		
WP_003515458.1	K01791	wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]	250		
WP_003515459.1	K02851	wecA; UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]	195		
WP_003515461.1	K00761	upp; uracil phosphoribosyltransferase [EC:2.4.2.9]	168		
WP_003515463.1	K07566	tsaC; L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]	209		
WP_003515465.1			44	K03499	1
WP_003515466.1	K03525	coaX; type III pantothenate kinase [EC:2.7.1.33]	194		
WP_003515468.1			35	K22754	
WP_003515474.1			72	K20127	1
WP_003515476.1	K01633	"folB; 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]"	73		
WP_003515478.1	K00796	folP; dihydropteroate synthase [EC:2.5.1.15]	219		
WP_003515480.1	K07095	uncharacterized protein	64		
WP_003515482.1	K01524	"ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]"	229		
WP_003515485.1			6	K06506	1
WP_003515487.1			13	K08963	1
WP_003515489.1			187		
WP_003515490.1			18	K07402	1
WP_003515496.1			11	K00148	3
WP_003515499.1	K00790	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	20		
WP_003515501.1	K02563	murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]	207		
WP_003515503.1	K03588	ftsW; cell division protein FtsW	189		
WP_003515505.1	K01000	mraY; phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	195		
WP_003515507.1	K01929	murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	235		
WP_003515509.1	K01928	"murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]"	277		
WP_003515511.1	K08384	spoVD; stage V sporulation protein D (sporulation-specific penicillin-binding protein)	325		
WP_003515513.1			12	K07335	1
WP_003515515.1	K03438	mraW; 16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]	197		
WP_003515517.1	K03925	mraZ; MraZ protein	107		
WP_003515519.1	K05837	rodA; rod shape determining protein RodA	205		
WP_003515521.1			18	K01895	
WP_003515523.1	K13292	lgt; phosphatidylglycerol:prolipoprotein diacylglycerol transferase [EC:2.-.-.-]	103	K03438	5
WP_003515525.1			252		
WP_003515527.1			207		
WP_003515531.1	K11753	ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	144		
WP_003515533.1	K03177	truB; tRNA pseudouridine55 synthase [EC:5.4.99.25]	152		
WP_003515536.1	K06881	nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]	183		
WP_003515537.1	K02834	rbfA; ribosome-binding factor A	60		
WP_003515540.1	K02519	infB; translation initiation factor IF-2	297		
WP_003515542.1			33		
WP_003515543.1	K07742	ylxR; uncharacterized protein	53		
WP_003515545.1	K02600	nusA; N utilization substance protein A	221		
WP_003515546.1	K09748	rimP; ribosome maturation factor RimP	84		
WP_003515548.1	K03763	"polC; DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]"	872		
WP_003515550.1	K03526	gcpE; (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]	236		
WP_003515551.1	K11749	rseP; regulator of sigma E protease [EC:3.4.24.-]	138		
WP_003515554.1	K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	239		
WP_003515555.1	K00981	E2.7.7.41; phosphatidate cytidylyltransferase [EC:2.7.7.41]	157		
WP_003515557.1	K00806	uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]	182		
WP_003515559.1			10	K09935	1
WP_003515563.1	K09903	pyrH; uridylate kinase [EC:2.7.4.22]	249		
WP_003515565.1	K02357	tsf; elongation factor Ts	165		
WP_003515567.1	K02967	RP-S2; small subunit ribosomal protein S2	175		
WP_003515569.1	K06207	typA; GTP-binding protein	450		
WP_003515572.1	K07082	UPF0755 protein	135		
WP_003515575.1	K08303	putative protease [EC:3.4.-.-]	340		
WP_003515577.1	K05515	mrdA; penicillin-binding protein 2 [EC:3.4.16.4]	183		
WP_003515579.1	K03091	sigH; RNA polymerase sporulation-specific sigma factor	156		
WP_003515581.1			142		
WP_003515583.1	K07456	mutS2; DNA mismatch repair protein MutS2	450		
WP_003515584.1			8	K03413	1
WP_003515586.1			80		
WP_003515588.1	K01448	amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	21		
WP_003515590.1	K02026	ABC.MS.P1; multiple sugar transport system permease protein	123		
WP_003515591.1	K02025	ABC.MS.P; multiple sugar transport system permease protein	107		
WP_003515593.1	K02027	ABC.MS.S; multiple sugar transport system substrate-binding protein	75		
WP_003515596.1	K06398	spoIVA; stage IV sporulation protein A	348		
WP_003515597.1	K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	213		
WP_003515600.1	K08591	plsY; glycerol-3-phosphate acyltransferase PlsY [EC:2.3.1.15]	121		
WP_003515602.1	K03977	engA; GTPase	312		
WP_003515604.1			237		
WP_003515606.1	K02911	RP-L32; large subunit ribosomal protein L32	26		
WP_003515607.1	K07040	uncharacterized protein	76		
WP_003515609.1	K00925	ackA; acetate kinase [EC:2.7.2.1]	343		
WP_003515613.1			8	K09667	2
WP_003515614.1	K02434	gatB; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	337		
WP_003515616.1	K02433	gatA; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	342		
WP_003515618.1	K02435	gatC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	55	K01876	1
WP_003515619.1			21	K19176	1
WP_003515625.1	K01972	E6.5.1.2; DNA ligase (NAD+) [EC:6.5.1.2]	423		
WP_003515627.1			17	K20190	1
WP_003515629.1	K01448	amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	23		
WP_003515630.1	K06012	gpr; spore protease [EC:3.4.24.78]	205		
WP_003515632.1	K02968	RP-S20; small subunit ribosomal protein S20	36		
WP_003515634.1	K02340	holA; DNA polymerase III subunit delta [EC:2.7.7.7]	147		
WP_003515638.1			13	K07076	1
WP_003515640.1			12	K00157	
WP_003515642.1			16	K07497	1
WP_003515644.1			17	K05593	1
WP_003515646.1			125	K02027	12
WP_003515648.1			27	K00867	1
WP_003515650.1	K19225	gluP; rhomboid protease GluP [EC:3.4.21.105]	129		
WP_003515651.1	K03565	recX; regulatory protein	51		
WP_003515653.1	K03553	recA; recombination protein RecA	260		
WP_003515656.1	K03980	murJ; putative peptidoglycan lipid II flippase	191		
WP_003515658.1	K03742	pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42]	325		
WP_003515661.1	K00016	LDH; L-lactate dehydrogenase [EC:1.1.1.27]	206		
WP_003515663.1	K03924	moxR; MoxR-like ATPase [EC:3.6.3.-]	205		
WP_003515665.1			122		
WP_003515667.1			128		
WP_003515668.1			18	K03973	4
WP_003515671.1	K00600	glyA; glycine hydroxymethyltransferase [EC:2.1.2.1]	319		
WP_003515673.1			162	K04655	16
WP_003515675.1	K09766	uncharacterized protein	74		
WP_003515677.1			160		
WP_003515678.1	K03151	thiI; tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]	239		
WP_003515680.1	K04487	iscS; cysteine desulfurase [EC:2.8.1.7]	207		
WP_003515682.1			33	K01872	1
WP_003515683.1	K03584	recO; DNA repair protein RecO (recombination protein O)	106		
WP_003515684.1			20		
WP_003515685.1	K03595	era; GTPase	192		
WP_003515686.1	K01489	cdd; cytidine deaminase [EC:3.5.4.5]	70		
WP_003515687.1	K07042	ybeY; probable rRNA maturation factor	87		
WP_003515688.1	K07037	uncharacterized protein	356		
WP_003515690.1	K06217	phoH; phosphate starvation-inducible protein PhoH and related proteins	212		
WP_003515692.1	K06438	yqfD; similar to stage IV sporulation protein	155		
WP_003515694.1			30		
WP_003515696.1	K01567	pdaA; peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-]	120		
WP_003515698.1			73		
WP_003515701.1			36	K02500	1
WP_003515703.1			20	K02404	1
WP_003515705.1	K16881	mannose-1-phosphate guanylyltransferase / phosphomannomutase [EC:2.7.7.13 5.4.2.8]	435		
WP_003515708.1			18	K02945	1
WP_003515710.1			6	K07605	1
WP_003515712.1			20	K01474	1
WP_003515715.1			13	K06337	6
WP_003515717.1			16	K06331	11
WP_003515719.1	K06338	cotSA; spore coat protein SA	166		
WP_003515721.1	K01710	"E4.2.1.46; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]"	158		
WP_003515723.1			11	K03270	1
WP_003515725.1			24		
WP_003515727.1	K06416	spoVS; stage V sporulation protein S	98		
WP_003515729.1	K09769	uncharacterized protein	171		
WP_003515732.1	K18682	rny; ribonucrease Y [EC:3.1.-.-]	357		
WP_003515733.1			110		
WP_003515736.1	K01491	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	187		
WP_003515738.1			410		
WP_003515744.1			25	K21841	
WP_003515746.1			152		
WP_003515750.1			101	K01869	1
WP_003515752.1			5	K02456	1
WP_003515754.1			41	K00384	1
WP_003515756.1	K02663	pilN; type IV pilus assembly protein PilN	12		
WP_003515758.1					
WP_003515760.1					
WP_003515762.1	K02653	pilC; type IV pilus assembly protein PilC	199		
WP_003515764.1	K02669	pilT; twitching motility protein PilT	238		
WP_003515767.1	K02652	pilB; type IV pilus assembly protein PilB	256		
WP_003515784.1			2	K02031	1
WP_003515787.1			7	K09815	1
WP_003515789.1			18	K01448	2
WP_003515791.1			104	K11527	13
WP_003515794.1			201		
WP_003515795.1	K07720	"yesN; two-component system, response regulator YesN"	116		
WP_003515797.1	K11959	urtA; urea transport system substrate-binding protein	308		
WP_003515799.1	K11960	urtB; urea transport system permease protein	252		
WP_003515800.1	K11961	urtC; urea transport system permease protein	250		
WP_003515802.1	K11962	urtD; urea transport system ATP-binding protein	149		
WP_003515803.1	K11963	urtE; urea transport system ATP-binding protein	143		
WP_003515805.1	K01430	ureA; urease subunit gamma [EC:3.5.1.5]	82		
WP_003515807.1	K01429	ureB; urease subunit beta [EC:3.5.1.5]	52	K14048	9
WP_003515809.1	K01428	ureC; urease subunit alpha [EC:3.5.1.5]	453		
WP_003515811.1	K03188	ureF; urease accessory protein	117		
WP_003515812.1	K03189	ureG; urease accessory protein	164		
WP_003515814.1	K03190	ureD; urease accessory protein	140		
WP_003515816.1	K02171	"blaI; BlaI family transcriptional regulator, penicillinase repressor"	53		
WP_003515817.1	K02172	blaR1; bla regulator protein blaR1	119		
WP_003515819.1	K03088	"rpoE; RNA polymerase sigma-70 factor, ECF subfamily"	39		
WP_003515820.1			177		
WP_003515822.1					
WP_003515825.1			37	K09228	1
WP_003515828.1			173		
WP_003515830.1	K01448	amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	108		
WP_003515832.1	K02007	cbiM; cobalt/nickel transport system permease protein	290		
WP_003515833.1	K02008	cbiQ; cobalt/nickel transport system permease protein	229		
WP_003515836.1	K02006	cbiO; cobalt/nickel transport system ATP-binding protein	188		
WP_003515837.1			24	K06306	17
WP_003515841.1	K06158	"ABCF3; ATP-binding cassette, subfamily F, member 3"	327		
WP_003515843.1	K01926	rex; redox-sensing transcriptional repressor	131		
WP_003515844.1	K00800	aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]	326		
WP_003515847.1	K04517	tyrA2; prephenate dehydrogenase [EC:1.3.1.12]	168		
WP_003515849.1	K03856	AROA2; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	281		
WP_003515850.1	K02355	fusA; elongation factor G	439		
WP_003515852.1	K03708	ctsR; transcriptional regulator of stress and heat shock response	79		
WP_003515853.1	K19411	mcsA; protein arginine kinase activator	80		
WP_003515854.1	K19405	mcsB; protein arginine kinase [EC:2.7.14.1]	198		
WP_003515855.1	K03696	clpC; ATP-dependent Clp protease ATP-binding subunit ClpC	587		
WP_003515856.1			238		
WP_003515869.1			227		
WP_003515871.1	K04485	radA; DNA repair protein RadA/Sms	300		
WP_003515873.1	K07067	disA; diadenylate cyclase [EC:2.7.7.85]	217		
WP_003515875.1			74		
WP_003515877.1	K02871	RP-L13; large subunit ribosomal protein L13	107		
WP_003515879.1	K02996	RP-S9; small subunit ribosomal protein S9	108		
WP_003515881.1			10	K03372	1
WP_003515883.1			18	K00891	1
WP_003515885.1			39	K02014	1
WP_003515892.1			257		
WP_003515894.1	K06925	tsaE; tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	67		
WP_003515896.1	K14742	tsaB; tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	45		
WP_003515898.1	K03789	rimI; [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	80		
WP_003515900.1			471		
WP_003515902.1			64		
WP_003515904.1			146		
WP_003515906.1			15	K06196	1
WP_003515908.1			16	K14652	1
WP_003515910.1			257		
WP_003515912.1			261		
WP_003515915.1	K00931	proB; glutamate 5-kinase [EC:2.7.2.11]	187		
WP_003515917.1			23	K12340	1
WP_003515919.1			53	K05635	1
WP_003515921.1	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein	152		
WP_003515923.1	K02005	ABC.CD.TX; HlyD family secretion protein	22		
WP_003515926.1	K02004	ABC.CD.P; putative ABC transport system permease protein	142		
WP_003515928.1	K05366	mrcA; penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4]	298		
WP_003515930.1			78		
WP_003515936.1			36		
WP_003515939.1			115		
WP_003515942.1			137		
WP_003515943.1	K02016	ABC.FEV.S; iron complex transport system substrate-binding protein	164		
WP_003515945.1	K02015	ABC.FEV.P; iron complex transport system permease protein	163		
WP_003515952.1	K02013	ABC.FEV.A; iron complex transport system ATP-binding protein [EC:3.6.3.34]	119		
WP_003515954.1	K03215	rumA; 23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]	285		
WP_003515959.1			26	K01897	1
WP_003515960.1			79	K06941	1
WP_003515965.1			5		
WP_003515967.1			4	K18405	
WP_003515979.1			32		
WP_003515981.1			69	K02483	6
WP_003515983.1			52		
WP_003515985.1	K02004	ABC.CD.P; putative ABC transport system permease protein	19		
WP_003515987.1	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein	120		
WP_003515989.1			8	K03466	1
WP_003515992.1			17	K02191	1
WP_003515994.1			41	K03090	1
WP_003515996.1	K07451	mcrA; 5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	81		
WP_003515999.1			245		
WP_003516001.1			397		
WP_003516003.1			369		
WP_003516004.1			158		
WP_003516007.1			50	K07277	1
WP_003516013.1			26	K01533	1
WP_003516014.1			361		
WP_003516017.1			136		
WP_003516018.1			30		
WP_003516020.1			301		
WP_003516021.1			403		
WP_003516023.1	K01358	"clpP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"	214		
WP_003516024.1			540		
WP_003516025.1			73		
WP_003516026.1			144		
WP_003516027.1			177		
WP_003516028.1			153		
WP_003516029.1			216		
WP_003516030.1			148		
WP_003516031.1			497		
WP_003516032.1			294		
WP_003516053.1	K07464	cas4; CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]	114		
WP_003516055.1	K09951	cas2; CRISPR-associated protein Cas2	62		
WP_003516061.1			122		
WP_003516071.1			26	K08399	1
WP_003516073.1			6	K01719	1
WP_003516075.1			32	K09002	1
WP_003516077.1	K19134	csx10; CRISPR-associated protein Csx10	54		
WP_003516078.1			12	K19134	3
WP_003516080.1			53		
WP_003516089.1			2	K00525	
WP_003516091.1			26	K01869	1
WP_003516093.1	K19114	csh1; CRISPR-associated protein Csh1	13		
WP_003516096.1	K01872	AARS; alanyl-tRNA synthetase [EC:6.1.1.7]	555		
WP_003516098.1			142		
WP_003516103.1			24	K20165	1
WP_003516105.1			14	K01448	1
WP_003516107.1	K18779	tgtA; 7-cyano-7-deazaguanine tRNA-ribosyltransferase [EC:2.4.2.48]	50		
WP_003516110.1	K07258	dacC; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	162		
WP_003516112.1	K09749	uncharacterized protein	65		
WP_003516115.1			145		
WP_003516120.1			182		
WP_003516128.1			143		
